STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	21494	8.68412923093245	110.904195621209	1	0	1	1	2
2	2816	224.410803027824	466.275732690473	1	0	1	2	2
3	1243	1437.06956713847	3533.85137412949	1	0	1	3	3.52247741674405
4	5423	91.3125393257522	532.203037277598	1	0	1	4	2.31443912253937
5	18469	36.2071553124636	174.162560106867	1	0	1	5	2.57944926391065
1	5533	10.9539382116254	157.450954449859	1	0	2	1	2
2	27841	2.0171809253798	24.1796602149365	1	0	2	2	2
3	14619	64.7170308208343	291.924090393019	1	0	2	3	7.51634310579903
4	6721	394.517102073492	937.001955489708	1	0	2	4	11.091579270756
1	23771	2.0575529740154	18.9493911751189	1	0	3	1	2
2	726	141.874872489711	1135.80885646427	1	0	3	2	2
3	41470	16.3303450596715	125.765737887439	1	0	3	3	4.30847238681082
4	5225	313.301118745626	803.578001883107	1	0	3	4	3.46849657032746
5	6028	996.940948303654	1864.3976787702	1	0	3	5	9.28407697304762
1	9471	54.0775457062559	459.466155065848	1	0	4	1	2.7921942379731
2	1386	781.18507217742	3699.51212669364	1	0	4	2	3.29006099358078
3	3003	1222.24454830948	2546.77030317063	1	0	4	3	4.90728603810853
4	14377	459.802589944413	955.64614398155	1	0	4	4	8.81579836198853
1	12760	12.9821116931382	50.3433598294088	1	0	5	1	2
2	6765	108.393255798157	320.845155359881	1	0	5	2	2.29870751209951
3	3707	924.942199020414	1467.48216057038	1	0	5	3	5.76123837270808
4	13761	70.899832044827	153.267873797997	1	0	5	4	2.23368308645057
