STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	25058	0.13394509733716	0.0640800222764483	1	0	1	1	3.33400423428741
2	9053	0.204121122258227	0.11007097667729	1	0	1	2	2.06900923212031
3	10692	0.461167061709808	0.323697791012338	1	0	1	3	7.18614165507955
4	4642	0.70490877780671	0.684381245135885	1	0	1	4	6.59629885550845
1	7051	2.50848979578722	6.00373126345257	1	0	2	1	2.31506369541171
2	2464	12.6765556449163	42.1039124229816	1	0	2	2	5.67354028146772
3	1738	6.90354328233598	22.6761420527042	1	0	2	3	2.1553109062525
4	28611	1.78138108944118	1.90756878876699	1	0	2	4	2.98472436488284
5	14850	2.5538020927086	2.50514531747949	1	0	2	5	2.03446565400066
1	33869	1.19738782817156	1.80141670160239	1	0	3	1	2.25958592126047
2	29656	7.12926848812094	11.0019710376933	1	0	3	2	12.0835730388072
3	10384	11.8287690738684	15.8214373974757	1	0	3	3	6.08447229235692
4	3311	26.9293631929833	69.9316256768934	1	0	3	4	8.57521674831638
1	18678	9.7581135667321	16.5244813175742	1	0	4	1	2
2	4818	127.736256278338	278.808955748762	1	0	4	2	6.48414404065204
3	4741	115.586769237539	183.571653517847	1	0	4	3	4.20101965550619
1	26268	203.940197692982	443.738763952074	1	0	5	1	2.86542602854741
2	6380	1463.91704370052	2370.94226262943	1	0	5	2	3.71857445451503
3	4345	1902.24280920928	7137.16809509681	1	0	5	3	7.62343200062603
