STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	9812	1442.15148643674	2859.60556247847	1	0	1	1	6.17108087195638
2	7689	3630.49412079181	8032.55229583046	1	0	1	2	13.5837909019081
3	17402	1404.5685151726	2623.12907347407	1	0	1	3	10.0395995506269
4	3168	3150.40756353141	8081.47545845851	1	0	1	4	5.63084271543256
5	11374	961.811122628812	2056.85615481183	1	0	1	5	5.14534748517356
1	3432	1200.61660665895	2864.17700462396	1	0	2	1	2.73120730664525
2	19965	571.254511124234	1416.79299641059	1	0	2	2	7.85928881615835
3	7359	1487.23616269189	4528.91661884759	1	0	2	3	9.26020627240279
4	5643	1860.31785444345	7789.91099745827	1	0	2	4	12.2137796000056
5	18315	1057.9030394265	2642.86107670314	1	0	2	5	13.4489627476271
1	15653	1418.85883779477	3063.7375643346	1	0	3	1	11.6445971721819
2	4070	4368.71872477657	9854.21490077969	1	0	3	2	9.73849310260925
3	14399	1478.89696349159	4997.64845934226	1	0	3	3	17.4732366323081
4	17226	719.075272322337	1880.94011502002	1	0	3	4	7.86746345595498
5	25872	402.802245378311	789.853475268529	1	0	3	5	4.96194399971071
1	2541	232.493185702098	355.26107134011	1	0	4	1	2.01251069923441
2	1738	374.517640091516	640.114447045362	1	0	4	2	2.48023774784241
3	1892	574.682826941283	1172.54816386182	1	0	4	3	4.94581348913945
4	22066	289.554331565372	284.925689707246	1	0	4	4	14.016550103353
1	17490	322.127754203528	384.604941771723	1	0	5	1	4.11131756699559
2	8360	801.320685018956	946.236524629242	1	0	5	2	4.83484259357521
3	4774	1690.74131311122	3091.86428723445	1	0	5	3	9.02150910753363
4	6369	713.717273316037	896.487977440698	1	0	5	4	3.48973197620579
