STRATO	N	M1	M2	S1	S2	COST	CENS	DOM1	X1	SOLUZ
1	11935	20888.0810065006	0	8863.08395242053	0	1	0	1	1	15.0849534032794
2	9515	17948.4637637662	0	7802.12434529544	0	1	0	1	2	10.586644916783
3	12045	14565.9361705689	0	7054.94873880753	0	1	0	1	3	12.1181787273908
4	11033	10003.3515916875	0	6161.45756668567	0	1	0	1	4	9.69423998573894
5	4917	4217.14190961507	0	5937.14724845516	0	1	0	1	5	4.163079601288
1	16445	22185.6837168591	0	8907.07182429336	0	1	0	2	1	12.9044251249292
2	8129	15419.9914025744	0	6274.90027031383	0	1	0	2	2	4.49380042742622
3	9460	8855.88147966936	0	4194.12310409743	0	1	0	2	3	3.49544231843627
4	13926	5348.37435610809	0	3588.05073067455	0	1	0	2	4	4.40204822031112
5	6754	1728.03227574982	0	3506.80010950297	0	1	0	2	5	2.08661294634597
1	7909	19308.4248973735	0	13682.6801922513	0	1	0	3	1	5.06915720666407
2	16665	37401.2649964228	0	23839.4541708769	0	1	0	3	2	18.6099254643483
3	11627	18398.4825495905	0	13819.6439053251	0	1	0	3	3	7.52675072759044
4	19690	11325.1474437739	0	8148.40359402974	0	1	0	3	4	7.51555843641261
5	21329	4695.26131334233	0	5178.1993449762	0	1	0	3	5	5.17359308950933
1	5687	6240.29774393987	0	3524.10931598721	0	1	0	4	1	7.55282650801038
2	12804	4859.10063662097	0	3646.81599835291	0	1	0	4	2	17.5969105298769
3	4840	6414.12731812661	0	5078.4729555497	0	1	0	4	3	9.26307999871205
4	2046	3210.34117173098	0	3877.49383652587	0	1	0	4	4	2.98974160168894
5	2860	4783.7408501163	0	6043.12148079429	0	1	0	4	5	6.51334776409709
1	3586	10782.7413780285	0	7626.83607581068	0	1	0	5	1	4.07800263413274
2	10725	13284.9339971081	0	9916.77339097776	0	1	0	5	2	15.8584411426381
3	5005	8802.90283210763	0	5459.79008100342	0	1	0	5	3	4.07448601583645
4	11088	4993.74190369892	0	3583.76981970498	0	1	0	5	4	5.92496964414274
5	6589	2429.04240686746	0	2822.38222645675	0	1	0	5	5	2.77286126297809
