STRATO	N	M1	M2	S1	S2	COST	CENS	DOM1	X1	SOLUZ
1	6501	20278.2266065396	0	36070.8348465506	0	1	0	1	1	3.11566342726528
2	20702	32155.6623800959	0	39754.5367468316	0	1	0	1	2	10.9348587555377
3	6292	51224.2190517128	0	46869.8395879902	0	1	0	1	3	3.91828803015029
4	10945	67348.8631265122	0	61248.169528857	0	1	0	1	4	8.90682780289017
5	5005	16703.7091276638	0	17146.7754332953	0	1	0	1	5	2
1	21989	35351.3065981157	0	55266.4342852965	0	1	0	2	1	13.2129889204582
2	11220	80232.9820782052	0	62663.8255811092	0	1	0	2	2	7.64440887065532
3	10956	98193.4650916648	0	79252.6029241246	0	1	0	2	3	9.44060234046357
4	5577	70489.5610021556	0	63447.6609680301	0	1	0	2	4	3.84724998706937
5	4972	4963.55960442836	0	7995.30572942985	0	1	0	2	5	2
1	22308	34540.1871936019	0	45472.5814356729	0	1	0	3	1	6.92489699432914
2	5621	66331.2141535425	0	67146.3833689419	0	1	0	3	2	2.57655420556857
3	32318	105334.638366965	0	87326.9075363175	0	1	0	3	3	19.2661807397016
4	7161	77612.3415403401	0	73981.9412596298	0	1	0	3	4	3.61661658182475
5	9812	22112.0644749226	0	31491.3076748537	0	1	0	3	5	2.10936291902107
1	3520	17792.2903251716	0	19105.1080935764	0	1	0	4	1	2.16255779185385
2	2937	26499.4561793797	0	24929.6295164309	0	1	0	4	2	2.3544817612859
3	14608	36239.001747836	0	25339.364009858	0	1	0	4	3	11.903153390594
4	3278	37190.2410829798	0	31189.367124752	0	1	0	4	4	3.28769159426331
5	3894	17172.7788619522	0	16100.7760868916	0	1	0	4	5	2.01612900269905
1	4961	26616.5861092596	0	38888.9125369356	0	1	0	5	1	4.6929529156253
2	3443	28611.1210152486	0	29972.3686956741	0	1	0	5	2	2.51020540242353
3	17336	42276.0551748799	0	34175.931154194	0	1	0	5	3	14.4118729665947
4	5368	28184.5715821507	0	33065.611898629	0	1	0	5	4	4.31757849643225
5	5885	21766.90357713	0	28485.2579341085	0	1	0	5	5	4.07772369160824
