STRATO	N	M1	M2	S1	S2	COST	CENS	DOM1	X1	SOLUZ
1	4653	2992.16626319547	0	2325.1549020521	0	1	0	1	1	5.73446647564177
2	7282	2520.09915451413	0	1854.38614641458	0	1	0	1	2	7.15745989795559
3	13376	1539.37687855419	0	1168.12889222233	0	1	0	1	3	8.28180690715791
4	14828	922.281854741816	0	794.454481933884	0	1	0	1	4	6.2439536636306
5	9306	284.48479822379	0	524.077504322676	0	1	0	1	5	2.58503627137306
1	2739	8676.1794629504	0	4821.76462792522	0	1	0	2	1	2.19638258475063
2	3762	6932.18326932803	0	4629.2653201623	0	1	0	2	2	2.89628180720374
3	4345	4757.6726751574	0	3551.82047679659	0	1	0	2	3	2.56655597284631
4	19041	771.205872085759	0	1314.73267226345	0	1	0	2	4	4.16329477314274
5	24827	200.659180140961	0	780.25189119096	0	1	0	2	5	3.22158078882541
1	9768	4812.54270162875	0	4175.45959741273	0	1	0	3	1	10.8415462068607
2	5819	2992.77676084629	0	2946.66122202806	0	1	0	3	2	4.55784816500948
3	12661	1402.18978011898	0	2028.81849597191	0	1	0	3	3	6.82798396865832
4	19833	501.559939829072	0	1081.96684188609	0	1	0	3	4	5.70405430941057
5	29139	166.682905084878	0	510.099495831095	0	1	0	3	5	3.95103453907351
1	3410	8047.38631096385	0	7492.52956552765	0	1	0	4	1	4.20260968312453
2	5115	2556.70548768111	0	3060.50643011217	0	1	0	4	2	2.57498762854088
3	7095	1431.45836148825	0	2266.68717181433	0	1	0	4	3	2.64533208236144
4	12617	266.514217062603	0	823.636039133543	0	1	0	4	4	2
1	5830	1902.64448285228	0	2796.7180938526	0	1	0	5	1	8.48273505134111
2	10505	632.374600652123	0	538.845013640365	0	1	0	5	2	2.94495444179434
3	12331	253.080722280883	0	726.475969331465	0	1	0	5	3	4.66056110529412
4	2387	411.545882222042	0	2230.62667713911	0	1	0	5	4	2.77011606816081
5	5940	40.7214551237868	0	59.1952502678598	0	1	0	5	5	2
