STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	9119	6.6460947856006	14.4606687377682	1	0	1	1	2
2	8448	35.6376810241397	110.84663782959	1	0	1	2	6.10530889586643
3	21890	101.429643732699	346.30888457009	1	0	1	3	49.4243090917848
4	5665	70.3846230696924	243.880056826371	1	0	1	4	9.00756518399617
5	4323	130.350013486035	481.740783054482	1	0	1	5	13.5778142056312
1	10648	14.8862881324841	124.245782022914	1	0	2	1	2.1004734274167
2	14465	180.776096291056	882.533392521275	1	0	2	2	20.2682886266726
3	9394	395.909594736212	2058.75769345871	1	0	2	3	30.7060028790378
4	2200	205.212512626845	935.728802431477	1	0	2	4	3.26843741781605
5	18007	43.1504887517749	188.581364348547	1	0	2	5	5.39147546692615
1	25311	25.8063075376356	102.493645192586	1	0	3	1	4.31760587868055
2	5093	171.566647260378	768.802922244438	1	0	3	2	6.51666588681802
3	10208	471.629266655294	2172.25612214982	1	0	3	3	36.9052749039758
4	27753	236.897374542972	837.311328193472	1	0	3	4	38.6752968721228
5	8855	58.8083917733531	277.183944199228	1	0	3	5	4.08501249480242
1	10318	11.6710405030048	15.8889421528926	1	0	4	1	2
2	5852	84.9774234655176	144.260529194145	1	0	4	2	4.79821716357848
3	2486	174.431281902891	353.78519097297	1	0	4	3	4.99883538839259
4	4609	240.109486762914	521.163812358196	1	0	4	4	13.6524005588583
5	4972	65.393956337899	210.132642267964	1	0	4	5	5.9381710440529
1	10868	15.1230534987597	18.3260520833497	1	0	5	1	2.05207218056958
2	6017	42.1535611036535	57.1845563292398	1	0	5	2	3.54513562080511
3	2893	62.3904425511868	101.083771908529	1	0	5	3	3.01303349268185
4	9130	109.441400416549	284.075406015938	1	0	5	4	26.7225870286906
5	8085	39.0666311485112	94.0749248407772	1	0	5	5	7.83660561102845
