STRATO	N	M1	M2	S1	S2	COST	CENS	DOM1	X1	SOLUZ
1	8052	369.544616235912	0	131.533631552094	0	1	0	1	1	3.94479611306221
2	15378	313.254810246566	0	141.215837065545	0	1	0	1	2	8.08848614249342
3	9328	270.484150323748	0	148.560934141975	0	1	0	1	3	5.16151440234859
4	9570	300.762900281324	0	150.964624101845	0	1	0	1	4	5.38110061221323
5	7117	175.022845548254	0	116.437218277803	0	1	0	1	5	3.08654612796966
1	11242	113.816108719888	0	66.5200172363156	0	1	0	2	1	8.43966782671376
2	10747	130.17475071626	0	75.6686289597715	0	1	0	2	2	9.1776720258259
3	6193	109.205276697293	0	54.5703158967716	0	1	0	2	3	3.81405514163128
4	9548	90.7934519346382	0	47.3619809480168	0	1	0	2	4	5.1035419486774
5	16984	49.8179840573544	0	29.3757083747312	0	1	0	2	5	5.6306398413649
1	5830	228.44151614848	0	214.26289310645	0	1	0	3	1	6.76588355259972
2	13145	282.393463888882	0	181.022044190715	0	1	0	3	2	12.8884607918088
3	10934	241.733899537131	0	156.34219373054	0	1	0	3	3	9.25900397343896
4	28688	145.530030124355	0	136.529052902702	0	1	0	3	4	21.2145756536013
5	18623	71.0652263574152	0	83.6889576113698	0	1	0	3	5	8.44163949083242
1	17050	29.4077368058783	0.000000000000001	6.35031211084894	0	1	0	4	1	3.65670779923304
2	11187	20.7171113137024	0.000000000000001	7.38885064964502	0	1	0	4	2	2.7916523269289
1	5742	21.6591182168149	0	10.2535120017257	0	1	0	5	1	4.02679012685588
2	12705	17.6947579115455	0	6.32334197776255	0	1	0	5	2	5.49470653286294
3	5896	16.2134327488745	0	5.8638391257929	0	1	0	5	3	2.36462722034245
4	6666	14.1125165786843	0	7.61038485263623	0	1	0	5	4	3.46972528953128
5	5984	11.2539713023296	0	4.97453877705809	0	1	0	5	5	2.03595215714679
