STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	11308	11.2755670912286	9.10367908728382	1	0	1	1	14.4795366271089
2	6952	15.595987061826	12.0348732349431	1	0	1	2	11.7680148442917
3	15763	20.2796152300819	17.3195640603106	1	0	1	3	38.3996933288529
4	10912	35.7541583450673	27.5173713378007	1	0	1	4	42.2340982406889
5	4510	22.4026322444196	18.65882072477	1	0	1	5	11.8362098892933
1	5269	75.2779801024036	54.8736427819386	1	0	2	1	8.52942582764947
2	23078	109.548444686655	65.0634063159034	1	0	2	2	44.2958226907717
3	9779	157.170431888414	79.4002207491417	1	0	2	3	22.9057207896433
4	11715	203.147485388201	84.7390887934185	1	0	2	4	29.2855840160017
5	4873	19.4177739422971	15.7114218817188	1	0	2	5	2.25860199999951
1	24915	125.444802989127	141.123621663043	1	0	3	1	62.3553143091466
2	26444	210.822561328785	137.150918190573	1	0	3	2	64.3189188785694
3	16291	301.404679067159	178.653019582605	1	0	3	3	51.6144106294745
4	4224	206.058285368241	187.844118707435	1	0	3	4	14.0713050949941
5	5346	44.1410321423471	37.2372406923773	1	0	3	5	3.5303626053969
1	2805	83.8396253945557	69.1946349974939	1	0	4	1	7.33224340772449
2	5720	134.455838848723	74.6907394523941	1	0	4	2	16.139659690487
3	9064	157.947577312864	83.516318366315	1	0	4	3	28.5971546122531
4	8602	179.141640523283	79.2007181118345	1	0	4	4	25.7371315863997
5	2046	127.603478644892	71.8986143773034	1	0	4	5	5.55722186219538
1	10868	79.8836886987658	41.0259165482927	1	0	5	1	28.0194522860477
2	6611	92.5751595084389	42.9468556339451	1	0	5	2	17.8422758332733
3	7744	112.269699799515	56.5796631765616	1	0	5	3	27.5345143978753
4	10252	88.6322191279031	55.0416547416201	1	0	5	4	35.4610669839881
5	1518	60.9462596031996	50.9748086474746	1	0	5	5	4.86271812009378
