STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	32758	19.4472392505989	64.2885806952383	1	0	1	1	2.56569264803926
2	10483	107.417403757719	276.346843494589	1	0	1	2	3.52934007394488
3	3212	467.109377287635	870.121088632987	1	0	1	3	3.40493357865101
4	1903	1488.7099965975	2592.80345534871	1	0	1	4	6.01120858997801
5	1089	3249.09132538509	3800.8494497526	1	0	1	5	5.04268640080723
1	32648	77.6944443200941	311.660369921589	1	0	2	1	3.68953635687691
2	8602	505.371455240217	1119.6488323142	1	0	2	2	3.49232699043082
3	8723	1312.1557662927	2604.63006336456	1	0	2	3	8.2384507946171
4	2596	4399.99611639688	4943.34056450916	1	0	2	4	4.65327640483409
5	2145	9262.04267894143	14687.5587064249	1	0	2	5	11.4237987251495
1	18480	81.5111241824288	296.185888745565	1	0	3	1	3.10681007635658
2	32879	286.526504373916	711.109387582088	1	0	3	2	13.2709919826528
3	16533	696.100177134236	1359.39949037658	1	0	3	3	12.756958513928
4	7128	2950.4363127166	3372.61183692889	1	0	3	4	13.6452791782682
5	2200	7711.31120632731	12055.0015273779	1	0	3	5	15.0535290580516
1	15114	142.024889144208	392.075307583505	1	0	4	1	9.8539388415649
2	891	532.593227027378	1948.29767141284	1	0	4	2	2.88664892633909
3	5687	306.687775769775	630.318615802827	1	0	4	3	5.96079676629277
4	4169	1001.57085588656	1453.61547883132	1	0	4	4	10.0772582140191
5	2376	2645.79537691541	2648.95762883849	1	0	4	5	10.466040252997
1	25223	186.876674096326	312.857457975699	1	0	5	1	24.197317037185
2	6402	415.021220937964	549.883332171816	1	0	5	2	10.7946903294642
3	1628	905.139941054349	968.968764323126	1	0	5	3	4.8371342444738
4	1617	1811.87334217584	2072.20863768155	1	0	5	4	10.2746600625137
5	2123	895.219573257508	963.347531424846	1	0	5	5	6.27129088784551
