STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	12496	501.636624322557	558.424468841064	1	0	1	1	16.9051831055833
2	10461	246.159985628925	386.368616054738	1	0	1	2	9.79173084751581
3	8503	166.006308966328	329.718827310008	1	0	1	3	6.79204177509677
4	7502	108.340394994657	283.338274446339	1	0	1	4	5.14951973996215
5	10483	58.5648245474233	160.725383183695	1	0	1	5	4.08182591297617
1	6501	164.099006685597	264.414976845767	1	0	2	1	11.0475733633038
2	4147	114.114211718854	188.150622666631	1	0	2	2	5.01464707061497
3	14905	43.8463994812381	107.433736563647	1	0	2	3	10.291373469215
4	22979	9.85716764524129	34.987643949096	1	0	2	4	5.16709565069439
5	6182	5.84353847398408	59.7150523384586	1	0	2	5	2.37253974035208
1	3289	252.279907890794	491.869681764967	1	0	3	1	6.38997830957947
2	4422	204.20448984027	376.580508716202	1	0	3	2	6.57751780698999
3	20988	120.489374196313	275.083835754339	1	0	3	3	22.8045540287441
4	13541	36.5309393122433	122.002985026097	1	0	3	4	6.52539267621573
5	34980	8.12108646973649	42.3324454102334	1	0	3	5	5.84895955979198
1	3025	0.129344990548357	0.0568157821361964	1	0	4	1	2.0281831619036
2	5346	0.119731444150783	0.0475678054487291	1	0	4	2	3.00092315314145
3	4180	0.0889395191814075	0.0392825944760681	1	0	4	3	2
4	5808	0.0491271086766007	0.0312427308096005	1	0	4	4	2.14135365387327
5	9878	0.0143393577926381	0.0172980522260714	1	0	4	5	2.01641087047023
1	1331	1.07356289808382	2.83341869406439	1	0	5	1	2.2275337328789
2	1694	1.49374042400549	3.84809287799619	1	0	5	2	3.85029877200324
3	3355	0.917076256526148	2.40549788717712	1	0	5	3	4.76686643529072
4	12177	0.383711582471773	1.20082236104124	1	0	5	4	8.63683358515292
5	18436	0.110435440020808	0.389667743327822	1	0	5	5	4.24323060677401
