STRATO	N	M1	M2	S1	S2	COST	CENS	DOM1	X1	SOLUZ
1	2981	2.42045020102053	0	1.61349880771226	0	1	0	1	1	2.57459712092168
2	7007	2.93085178104155	0	2.46588489832434	0	1	0	1	2	9.24876133938289
3	19470	3.07592823671952	0	3.43567228067934	0	1	0	1	3	35.8060436616943
4	11077	2.90246395063128	0	2.80907546309383	0	1	0	1	4	16.6557508763046
5	8910	3.10767996664077	0	3.67167984165863	0	1	0	1	5	17.511411901664
1	11451	15.69754014932	0	16.4340709309989	0	1	0	2	1	2
2	3927	38.5782184659863	0	80.344748570434	0	1	0	2	2	2.50960322152367
3	8283	38.0369428311585	0	118.506558462804	0	1	0	2	3	7.80758486035643
4	6347	59.5207599024468	0	100.867520217958	0	1	0	2	4	5.0922123780751
5	24706	25.2506449720481	0	18.5088175490607	0	1	0	2	5	3.6372049826598
1	18029	19.7992488553899	0	43.3449082622887	0	1	0	3	1	5.13485709860599
2	13585	41.1116745703458	0	64.7337228063928	0	1	0	3	2	5.77841676051526
3	21142	83.2613892393596	0	156.847192187991	0	1	0	3	3	21.7892083679805
4	11473	99.5678096306742	0	221.556770878048	0	1	0	3	4	16.7024682694012
5	12991	98.9597558847337	0	105.743578011452	0	1	0	3	5	9.02641338525435
1	15433	79.6738040590692	0	128.545605036885	0	1	0	4	1	2
2	2794	529.43097379143	0	921.127420094797	0	1	0	4	2	2
3	4972	1299.33899032	0	1970.49875480755	0	1	0	4	3	6.69595654785276
4	5038	1118.19467869233	0	1698.62714144973	0	1	0	4	4	5.84872988149675
1	16588	1464.72777011227	0	3066.22723244056	0	1	0	5	1	2
2	8360	4767.8102100138	0	7886.27880842379	0	1	0	5	2	2.0907031013961
3	3542	16567.7822147928	0	20323.1423869587	0	1	0	5	3	2.28272384758401
4	3784	21663.3116316709	0	43388.5849702546	0	1	0	5	4	5.20643647254082
5	4719	10123.0455627624	0	26488.8054351117	0	1	0	5	5	3.96393304214987
