STRATO	N	M1	M2	S1	S2	COST	CENS	DOM1	X1	SOLUZ
1	15125	22807.5068217911	0	31968.2993329072	0	1	0	1	1	6.16118848450169
2	11143	17352.7259966987	0	24803.3325894635	0	1	0	1	2	3.52177613336102
3	11957	22544.3536018975	0	27545.9156789958	0	1	0	1	3	4.19690386820578
4	11220	13709.1629126329	0	18080.9794121305	0	1	0	1	4	2.58502285546518
1	14894	15207.6533945418	0	25728.8776976211	0	1	0	2	1	4.94574012874179
2	20548	7252.05004870774	0	11426.6479796585	0	1	0	2	2	3.03031311996191
3	8613	17262.0622946748	0	20090.9236710699	0	1	0	2	3	2.23333283827487
4	10659	8967.24900484321	0	12082.4734926334	0	1	0	2	4	2
1	21923	15225.8670109993	0	32954.5656339525	0	1	0	3	1	13.3558510266538
2	7326	15594.8632845214	0	42933.5526331951	0	1	0	3	2	5.81459849628988
3	19932	12117.9777632109	0	28467.1244120146	0	1	0	3	3	10.4893956902897
4	15587	9278.12378336174	0	14720.0104672115	0	1	0	3	4	4.24157006059558
5	12452	7293.81740303479	0	10116.4478023549	0	1	0	3	5	2.32875150049047
1	9152	3255.42369799668	0	2420.01189921246	0	1	0	4	1	2.52490874647278
2	9636	2990.47645749914	0	2369.53210624577	0	1	0	4	2	2.60298438493909
3	9449	3946.58060388824	0	2122.85645167794	0	1	0	4	3	2.28674980592644
1	5577	11414.3507619857	0	21136.4047958674	0	1	0	5	1	7.26262647387846
2	3905	7644.19607998287	0	15844.1867429438	0	1	0	5	2	3.81200039358968
3	17831	6547.1668554664	0	9561.24830373327	0	1	0	5	3	10.5039402586958
4	3740	9716.11804421843	0	13010.6747254005	0	1	0	5	4	2.99801200610181
5	5940	4690.95673676859	0	4922.15911797855	0	1	0	5	5	2
