STRATO	N	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	COST	CENS	DOM1	X1	SOLUZ
1	6435	1124.69279049749	1517.276960199	1587.60915386844	55.782548535578	32.0418556088592	602.487434629797	1265.84649333025	1.30274819166917	1497.83659856107	300.179532038183	9.57037562031928	0.152500350457982	25.4096808062784	151.927442300954	1.76229587883569	2141.6996399054	1220.75709658777	1369.58384797028	77.4905976783243	44.1165880331339	707.659890727218	1095.12768441975	2.07636236779112	964.994966231381	1561.93583609248	144.245619326647	0.0705213569697131	50.2313290608501	296.512305365961	23.3554106426258	1	0	1	1	10.145066861808
2	29513	2141.26565189872	1647.65013208419	3647.52175493262	1741.44455390162	145.356225852966	921.80136337016	1123.35314851945	5.68232631500676	1563.19962875367	471.346414667397	11.0354886149963	0.268202182388888	74.5577454868941	617.438535543968	32.3092663373807	5274.54305773105	2478.41676137687	5838.04960281057	3434.75046405105	275.987884351044	1994.49415034575	1369.79904506611	13.4881638933913	973.19767109572	2421.3340115301	116.458522182617	0.297086039979034	292.728012887219	3254.42842259493	661.277686242662	1	0	1	2	102.699207559177
3	13497	1259.17763646947	791.794793815338	4337.88055322531	824.660338230045	449.186058727097	113.869438885478	274.228733856513	49.1102511771855	761.934065303164	3642.35597243775	188.745983758416	0.33418528378291	87.4465235531924	417.661469312605	844.973402069479	3147.42255929665	1573.75916155555	6115.04441719572	1865.66150845435	603.869557459485	314.751329943122	837.585105863403	92.9767312241187	715.361386158439	11905.0045471337	397.845829014574	0.430174368512013	343.484864395783	2497.28470465203	1881.07242374456	1	0	1	3	43.2829891689712
1	5071	1265.85378816252	1018.37183631474	3412.53278906997	1399.63490536287	78.6830634125432	190.79162801258	973.323134528876	25.8941800228437	1741.05701171335	242.707954907009	22.516053140488	2.22623884447547	20.8421360902162	537.355698999909	0.449883544555791	3334.28750929838	1384.38443718219	5666.26469805567	3394.7779113472	151.653161486468	314.107417965386	1176.17046331643	60.5213049327939	1171.90325017376	1108.48122163166	78.7899847870403	8.58289361826941	90.7127357090617	1568.18399041496	2.97526723864141	1	0	2	1	16.4074483701999
2	3509	551.863873945037	1968.69612176551	1886.06219139554	524.008848789782	100.874454068664	403.782232575195	692.810387084811	28.5742659976431	2345.92547972044	936.166900639974	1.7375833954321	2.1266194238384	14.1782202060634	277.121636423018	0.112073695106832	1544.93492632715	2746.40330288918	4084.31790302672	953.603268384157	228.654628407913	472.328497228918	478.841721913387	55.7354174616377	1195.64851654413	2598.74093535625	11.4283493805043	3.67114821087611	45.3814652959532	1188.38635880412	0.6649235913319	1	0	2	2	9.77938905520105
3	46134	1040.18329986938	700.927029269537	5730.35473202008	654.438838622619	442.398259711741	105.401604161901	234.026371489742	166.218031735152	930.990809665937	5347.71760720162	88.8086508608504	2.84086018060453	163.992861961948	463.271944405486	256.426616762418	3705.43845976816	1517.40019059703	7477.93493109805	1485.83479837409	750.958984243569	456.609326013714	598.537428715755	239.639641406183	982.31492867671	42307.1146194871	212.01037458295	11.0074673095473	1087.83993872573	2687.66535978247	778.593213308048	1	0	2	3	155.649767920376
1	5379	1403.89362520407	831.787322288772	2669.12069370644	1209.95476890201	98.5362805921753	404.177305153383	876.302166636543	19.1220641006013	1830.61528304832	94.958224747235	4.88656251011254	1.03996939476744	11.7772056138478	69.233284193789	1.99738663020882	3116.67541320245	1040.19153188917	4612.87683097051	3302.2422886233	355.54128213639	819.533828833439	1545.35566542389	70.2701269177387	1359.01857565891	821.827443642047	28.0665818082442	1.45355270980429	46.6710621698903	335.741545170006	27.4225896629925	1	0	3	1	12.4294864464609
2	25432	1912.4614015584	1199.17152194354	7009.28053836895	1611.38025287324	189.011444144791	253.743927897682	797.958367253539	57.5228688905196	2299.66397419241	933.484538586679	27.9170435977637	1.35472930911705	45.9946606028109	119.351720872526	7.22116692829944	5748.13310906452	1591.11975244217	9503.49149022427	5810.92277276925	344.899292644705	645.952645800049	1357.73810487782	105.17327489742	2534.83910677011	4297.49271447152	104.75359148801	2.31801361288259	361.482595269472	988.493772525649	120.544591822779	1	0	3	2	87.6859600115858
3	46409	601.252949518496	697.354142135871	6271.37603857817	447.416512368555	305.836194540671	12.0589761317781	168.442934225773	305.400552777829	1099.72336911929	4973.4491429125	244.26397396597	9.13455370870208	262.958462496413	126.365116921156	400.44751538195	1606.0707950642	1953.86146917817	10142.4640068431	924.426115010549	377.003142022621	72.0860296799632	542.65012883372	422.898487930761	1935.33201244606	13606.9094702179	557.154598820127	22.6591569172185	1219.41833743561	648.696947961834	845.078841882104	1	0	3	3	154.196794670991
1	11473	305.432008272768	130.728494436802	3302.80594513859	599.664456242866	282.704198141537	0.410005763038923	50.893416339496	467.112498385816	546.164810047641	145.99319230479	113.388406564738	5.62225393763402	31.7931102663327	8.80416762115209	168.816513565169	529.463682634755	105.271646895606	2917.72093349717	734.849521469363	528.270608324017	0.62267135344817	132.544123810127	1017.03118339167	462.358762111982	485.930690791775	1121.59920115338	5.62404941717191	82.6835399996062	13.9250062512174	719.627409249189	1	0	4	1	37.1437490978804
2	8569	253.242782279945	110.697088471413	2291.41218136967	156.341231426216	177.057680389246	0.696596716256859	6.70950301203021	323.598889236049	420.556863245583	420.167323439626	34.7670436863622	47.5604059833183	136.127180664816	7.97460080072891	102.194397238404	220.625576758549	138.57262477028	2081.37404884311	285.873690004951	580.299869487014	1.34975802376431	14.463068306134	1159.87397675459	333.225895857172	1299.2574754076	73.0487465615783	120.209294205055	333.578017611085	10.0795405187852	285.615739603751	1	0	4	2	25.6964055921857
3	8195	371.448907867257	54.5213409353429	2504.93398342925	90.5114886985328	411.961471457135	0.0122786487240551	0.362596909966106	1054.51633165525	448.49768721948	4117.52556313285	357.006992101484	106.606828872007	116.157785849989	8.8578066249431	1273.95527240178	481.20302130703	75.748593247105	2819.23792371822	232.157484837208	701.158139913532	0.0864003908007414	3.13226383895438	1569.01941313969	519.716370152818	7408.78968999382	907.463228141489	233.302188351329	349.379771480461	25.6187770543898	1336.95290160757	1	0	4	3	28.9290016628167
1	8063	289.811611992001	145.626379378888	2158.96641014056	98.1522092441173	81.4483142098036	0.574420097646314	44.8041822837452	58.5467845029649	1195.52707311834	215.66764944385	9.37191613521825	86.9773677380687	36.6053691388929	4.08729825845668	14.5857921313105	381.833644572821	136.479017183175	2189.35154791295	262.547412640437	123.657841781523	1.03482140915386	68.0692110958729	114.312500247545	1100.30521202784	805.055957615862	22.3326374974477	147.459321522873	59.2999901486461	3.15615686699262	67.8293468648791	1	0	5	1	18.0419847038689
2	10912	1034.82249806233	347.774516944379	4143.98742002192	242.514710067401	413.872402957393	1.05800537721153	224.446963509285	208.893556450418	989.956316958026	807.581798875754	60.7171407204175	199.868057305763	25.2498316768887	1.14122029248321	67.1356556496609	2046.58373081288	373.284088731382	4634.47028285033	665.516513559111	526.388666430754	2.34454782151429	526.343129878543	560.406163134153	967.032854322533	4048.13830650305	244.935248565615	592.749595683774	49.601665563005	1.05359982144532	331.798123578058	1	0	5	2	36.4733796899104
3	18018	628.348627149144	206.658097840828	2794.91905995511	29.3911338237711	332.635665929652	0.067890867602647	5.77232234792251	519.093226589	361.863427931491	4805.31351746059	282.13046869376	1114.43434900823	74.5293216172436	0.568894648468907	630.035364227258	1014.55017297104	227.78114457837	3358.4398275467	142.418658910119	361.819451880557	0.497186423057371	61.425350798065	779.643071225847	356.901717723281	10717.6455339578	908.335797814067	3842.0582282677	215.183819492189	1.23738840739792	972.132180693433	1	0	5	3	60.1028572348352
