STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	17633	148.473670375806	449.695502918191	1	0	1	1	3.36034026407766
2	2585	1255.00629625517	5089.20510841039	1	0	1	2	5.57505306646851
3	8646	701.04936423698	3396.18960657968	1	0	1	3	12.4435891476481
4	11539	258.791795393113	1335.71363641871	1	0	1	4	6.5316068649548
5	9042	75.2017251976649	548.54864902687	1	0	1	5	2.10192955227264
1	2915	71.6211686296361	157.617932118792	1	0	2	1	2.06723741003225
2	15950	29.1350857622341	72.5317954617488	1	0	2	2	5.20517441801579
3	5313	87.0010935504356	478.708926987614	1	0	2	3	11.4434641480019
4	30536	12.6976407581552	46.5374209358752	1	0	2	4	6.39382329295569
1	24189	8.72408988161146	30.9678548450415	1	0	3	1	10.6765724912302
2	15312	17.0996493675448	80.2493038400188	1	0	3	2	17.5136235327236
3	6941	36.8404919162368	156.444232446985	1	0	3	3	15.4769157057918
4	30778	8.24318456112796	22.1966026415371	1	0	3	4	9.73710198494548
1	5962	8.04825136764582	12.2902242379446	1	0	4	1	9.35778839390131
2	6545	4.42455353161712	6.28824014289291	1	0	4	2	5.25605875652593
3	5005	1.68207737579509	3.21123993693016	1	0	4	3	2.05257143195856
4	3135	3.31427701746731	6.67355843058632	1	0	4	4	2.67187695605603
5	7590	1.48481322963012	2.25214286677022	1	0	4	5	2.1830272389865
1	11385	1.20402160897245	1.03828452675302	1	0	5	1	10.645681424437
2	3069	2.00972918314924	1.71510613283183	1	0	5	2	4.74036668296485
3	12221	0.658723951419612	0.619387497195745	1	0	5	3	6.81699895493111
4	10318	0.227281342261509	0.352581869879094	1	0	5	4	3.27626897302708
