STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	847	61.2193805979246	392.958835005424	1	0	1	1	2.50189129683559
2	9229	6.1829568490521	21.7109337957786	1	0	1	2	2
3	12474	26.1033531613508	198.756728126286	1	0	1	3	18.6365512123496
4	21318	10.9676664637053	32.614506480922	1	0	1	4	5.22631085545119
5	5577	406.39107410152	530.452512832569	1	0	1	5	22.237457138372
1	6039	7.4326067829261	37.1388161965472	1	0	2	1	2.34436216339774
2	21395	10.4834738522475	44.9302299130389	1	0	2	2	10.0480676236401
3	5863	44.4801209856356	66.4363865038315	1	0	2	3	4.07152883304624
4	15928	114.458025267256	165.45350786348	1	0	2	4	27.5466533451716
5	5489	339.646670285644	448.157676271085	1	0	2	5	25.7131739522237
1	21516	9.48043518992747	58.607605474673	1	0	3	1	5.77881539174738
2	26631	49.0492499131357	134.679162874378	1	0	3	2	16.4365698733901
3	17611	179.450311352479	360.915499759091	1	0	3	3	29.1281470241677
4	5676	535.859298088075	676.116578920564	1	0	3	4	17.5868184163285
5	5786	753.58959784779	1058.61141524239	1	0	3	5	28.0697348017364
1	9119	90.1216122573787	208.74157014237	1	0	4	1	2.73950673125446
2	924	1526.36255628625	4496.17865610044	1	0	4	2	5.97904388607081
3	13508	65.2309058553509	146.814364529164	1	0	4	3	2.85414354744144
4	4686	301.147935480095	274.255424705287	1	0	4	4	2
1	14212	41.3370838130999	86.7635105675185	1	0	5	1	3.19686662123526
2	1914	547.189987946178	657.958845416888	1	0	5	2	3.26492241692013
3	5005	58.0206172101944	201.954317260287	1	0	5	3	2.62053175047235
4	1342	1432.09147882632	2779.08229875868	1	0	5	4	9.66910165877634
5	14520	135.983041216317	357.967162165194	1	0	5	5	13.4754106158713
