STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	30723	4.10552845818197	8.5823398120166	1	0	1	1	2.77826706152869
2	13475	18.8888804548821	30.7203023638432	1	0	1	2	4.36173145101655
3	4114	51.1960861246575	91.3444914607788	1	0	1	3	3.959599973972
4	1133	218.573899399432	178.369050423912	1	0	1	4	2.12938442519399
1	10813	20.9199734207045	38.9982090125475	1	0	2	1	2
2	17864	57.0902091136566	123.830169509385	1	0	2	2	8.78295392527135
3	10263	182.859157216495	212.334208030446	1	0	2	3	8.65226320901919
4	15774	302.848260658918	292.952027879999	1	0	2	4	18.3473680112948
1	26774	28.3533008925906	70.0090707250575	1	0	3	1	4.17855120635241
2	40986	216.465646990735	267.576896095828	1	0	3	2	24.4479418470722
3	4037	813.129554794612	878.002594784853	1	0	3	3	7.90155750946014
4	5423	520.987855415962	374.730849068133	1	0	3	4	4.53019825127641
1	10571	241.508749561014	505.947057882196	1	0	4	1	3.9022856526802
2	9966	896.043307520707	1257.25545799415	1	0	4	2	9.1420232623504
3	2464	1221.46675464542	3023.49328557677	1	0	4	3	5.43560164655051
4	5236	435.678234520964	588.121432176356	1	0	4	4	2.24680071584132
1	11275	82.3320489809765	136.998149009905	1	0	5	1	2
2	3498	413.858055297627	491.791035219557	1	0	5	2	2.20195223350551
3	1133	2011.23164895563	1657.69621298693	1	0	5	3	2.40404357852252
4	5104	146.893876617316	257.019835277139	1	0	5	4	2
5	15983	419.201015698046	669.201723349825	1	0	5	5	13.6906110047572
