STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	18766	1.25835234193135	1.94791263327506	1	0	1	1	2
2	11143	7.37483844100092	11.7360366341146	1	0	1	2	2.54341189826157
3	11847	16.3527520684745	25.2194548152305	1	0	1	3	5.81081694063752
4	4444	34.6709357680509	60.2629607767995	1	0	1	4	5.20855946821333
5	3245	118.744525171484	152.442195807609	1	0	1	5	9.62084036345043
1	13816	30.0796729019483	48.0082266738463	1	0	2	1	4.94578733706096
2	16445	59.8071735928669	136.59401881742	1	0	2	2	16.7495448509217
3	7260	184.315962303569	206.186322792604	1	0	2	3	11.1617919551408
4	17193	300.275434507018	289.826770995109	1	0	2	4	37.1558850740753
1	21824	21.569874884072	55.5030154787483	1	0	3	1	5.10631942803488
2	4917	58.4806322025929	108.575028315565	1	0	3	2	2.25054243631962
3	8404	110.785529170906	152.757651816058	1	0	3	3	5.41185390782848
4	32472	242.141478227358	280.831095607541	1	0	3	4	38.4424695848531
5	9603	644.274034377375	655.013462675109	1	0	3	5	26.5163780340158
1	6754	238.034009189183	472.280408711232	1	0	4	1	4.28356340896813
2	4004	1158.51333745961	1742.80982688003	1	0	4	2	9.37105058554845
3	8052	447.846390297328	664.064769903206	1	0	4	3	7.18056173099962
4	1947	1223.08382799742	3311.15258192005	1	0	4	4	8.65743737965131
5	7480	606.963832182064	773.734415795066	1	0	4	5	7.77208829907389
1	13882	130.71713505751	221.012025138	1	0	5	1	7.14672208653122
2	946	1581.50618575822	1716.3097885384	1	0	5	2	3.78203693461028
3	16456	204.208921481149	378.437072770197	1	0	5	3	14.5063082997326
4	5709	951.716383889571	986.981554361681	1	0	5	4	13.1252634473594
