STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	2233	964.759238721779	533.894933679054	1	0	1	1	2.33816234635018
2	23001	1803.11845279666	999.794328241871	1	0	1	2	45.1011407072245
3	13673	1176.24314177852	751.243528161764	1	0	1	3	20.1453444311322
4	10538	602.249558186086	638.619195549785	1	0	1	4	13.1986740017435
1	14377	2046.17795999856	1305.15857361732	1	0	2	1	26.8655349297652
2	9801	1493.73798429941	937.022087408173	1	0	2	2	13.1487405623565
3	19569	674.8865925271	504.287575430221	1	0	2	3	14.1289809796669
4	10967	250.405797728201	361.201982415561	1	0	2	4	5.67155186210465
1	7502	1765.91729744809	1312.61985977628	1	0	3	1	6.97931214983357
2	17556	3447.11120822474	3485.49044580266	1	0	3	2	43.3696643232428
3	21692	1393.25458854442	1312.50546329082	1	0	3	3	20.1788916111643
4	30470	504.795574823783	583.294054129903	1	0	3	4	12.5966944658738
1	3861	678.0893374061	500.99712940181	1	0	4	1	8.90652261370459
2	6314	365.682219909649	238.306575287543	1	0	4	2	6.92809347821595
3	3619	633.923533910461	665.423866569344	1	0	4	3	11.0881755324469
4	14443	437.86951714569	410.244747183057	1	0	4	4	27.2818348799896
1	2948	782.162873090732	560.546506030759	1	0	5	1	3.27051210536326
2	12518	1256.60206038774	1172.63496827313	1	0	5	2	29.0518919261527
3	8932	596.880304235422	453.072080521756	1	0	5	3	8.00926469864611
4	12595	285.406728577439	293.856398768795	1	0	5	4	7.32503924265752
