STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	20152	102.6004228275	669.425395131561	1	0	1	1	2.53902540798947
2	20614	828.192504649534	3319.64172344601	1	0	1	2	12.8795353352393
3	7546	3619.90148957238	9269.27757716603	1	0	1	3	13.1646524267706
4	1133	16370.3794640411	29506.6248119007	1	0	1	4	6.29210777881266
1	21780	821.777717285571	3404.33376152429	1	0	2	1	2.07504127989263
2	8756	5140.97950697068	21505.0663012116	1	0	2	2	5.26966821437361
3	5192	29656.3388244018	118967.76035557	1	0	2	3	17.2862465569739
4	18986	1808.64528402558	8169.26193875693	1	0	2	4	4.34063263738995
1	10307	215.113611056421	1570.80739811126	1	0	3	1	2.43932681406943
2	23694	1102.70936538759	4875.35195702514	1	0	3	2	17.4044030927027
3	6875	4994.4865356922	12039.8469990153	1	0	3	3	12.4712058045647
4	9966	11166.1975554842	24073.8808640127	1	0	3	4	36.1477912403941
5	26378	3074.52304519625	6694.76517718155	1	0	3	5	26.6067597488224
1	18579	146.538001338915	453.492954575088	1	0	4	1	2.56724239640224
2	9658	3758.12654305913	6954.20194802647	1	0	4	2	20.4648467410201
1	16467	541.263455226194	1302.24206911709	1	0	5	1	4.15731015508426
2	9900	5355.4053155959	8593.6765477158	1	0	5	2	16.4937883580115
3	6138	1781.41224281691	4090.60506422813	1	0	5	3	4.86766470239613
4	4488	5407.21780668084	17510.2635057054	1	0	5	4	15.2353259245695
