STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	21439	123.729611068896	751.902942047319	1	0	1	1	3.13772671512367
2	20878	878.828895825567	3467.38559941894	1	0	1	2	14.0909359679481
3	3850	3916.38393739489	9562.27228135548	1	0	1	3	7.16589833440163
4	3278	8823.81745180427	20233.1762569202	1	0	1	4	12.909868572878
1	35486	1430.6422684106	8023.06947297606	1	0	2	1	10.4620951183445
2	3410	16811.5209087464	71411.972428338	1	0	2	2	8.94842228634282
3	8525	2302.36603389925	21862.0119650948	1	0	2	3	6.84865956087161
4	7293	16934.6849732186	88411.0475616841	1	0	2	4	23.6937506210137
1	32615	780.166251541785	3995.84636802099	1	0	3	1	20.3090508962715
2	7722	4277.39324706755	10926.2782389897	1	0	3	2	13.1481762139186
3	8921	11119.3799103194	24877.2739978262	1	0	3	3	34.5843638677412
4	27962	3483.04195772219	7725.79139563101	1	0	3	4	33.6646940514902
1	18766	150.149934795567	457.576017877369	1	0	4	1	2.59424694332013
2	9471	3822.27874600012	7006.7374261754	1	0	4	2	20.0487835283879
1	17149	601.121544142489	1435.37905982427	1	0	5	1	4.44680878238746
2	2277	7021.91804554821	11846.6723248989	1	0	5	2	4.87306781253315
3	8019	709.367476569959	1994.25930001215	1	0	5	3	2.88898234401279
4	9548	6823.15052990947	13435.2830139089	1	0	5	4	23.1740680422013
