STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	12221	13.6195433248877	4.98074923018722	1	0	1	1	4.26901332249149
2	13035	7.33878806079859	3.44700731930129	1	0	1	2	3.15122440029434
3	22704	30.245487894168	20.9751840164499	1	0	1	3	33.3990602507227
4	1485	65.9805645668447	33.6304379787399	1	0	1	4	3.50255582912223
1	17490	100.197864558225	51.4221978004223	1	0	2	1	17.8227275247445
2	14069	115.931219732734	79.379297804374	1	0	2	2	22.1311614270261
3	4895	160.270169710849	82.4462209105245	1	0	2	3	7.99755385667659
4	13497	198.316719462157	86.7951741585592	1	0	2	4	23.2148857341401
5	4763	19.2239588410772	16.9142505862005	1	0	2	5	2
1	27093	113.084408194134	117.304722536165	1	0	3	1	35.759359684747
2	14586	198.069087572449	128.738052542558	1	0	3	2	21.1280922481306
3	20966	304.165378478296	182.916876822445	1	0	3	3	43.1505662293749
4	9614	226.420679366722	152.702035654486	1	0	3	4	16.5183279585037
5	4961	42.3764444710703	36.9247988811334	1	0	3	5	2.06112582842364
1	671	403.968588873699	160.745048379204	1	0	4	1	2.15605054793499
2	2486	225.582597733817	91.9414980821737	1	0	4	2	4.56889854874979
3	13332	119.528936308203	51.0022680820027	1	0	4	3	13.5920076199666
4	7337	168.477460978262	74.208961479002	1	0	4	4	10.8836279580986
5	4411	130.674977587842	43.1451850041786	1	0	4	5	3.80424263054663
1	6457	86.9118747093054	30.049819015825	1	0	5	1	5.72964335130145
2	3014	117.174611815428	31.7607557247893	1	0	5	2	2.82676052662195
3	7194	158.847759349638	49.8070060851586	1	0	5	3	10.5807344045867
4	20328	63.6400905323622	30.8511225528908	1	0	5	4	18.519129368117
