STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	12111	17.7251740926832	91.0784718872201	1	0	1	1	2
2	1254	637.621823146924	3371.5263417378	1	0	1	2	5.30338735917567
3	30756	21.0158299113245	214.687958232624	1	0	1	3	8.28260200930481
4	5324	2011.43492575352	2470.52213446245	1	0	1	4	16.4989403172248
1	31702	7.89467547060605	65.2882485570962	1	0	2	1	4.3737454544928
2	15807	106.060757104996	388.011756607848	1	0	2	2	12.9606314845976
3	2607	720.249675964903	1277.18959417348	1	0	2	3	7.03603881993605
4	4598	1746.01780539357	1374.22437167351	1	0	2	4	13.3523724378517
1	24178	1.75811018140349	20.5970847414282	1	0	3	1	2
2	33132	23.0591185580866	130.391139653317	1	0	3	2	8.49571884067814
3	9878	262.975963369521	452.223199580584	1	0	3	3	8.78468630333124
4	10032	1532.55408006068	1185.68645288879	1	0	3	4	23.3916996403291
1	3553	131.739696140041	890.311729160063	1	0	4	1	7.65305519147137
2	7810	44.261198239084	221.531691048848	1	0	4	2	4.1858575001651
3	9878	258.971781840673	640.525701852105	1	0	4	3	15.3074597366772
4	6996	1412.33915776825	1366.2266535528	1	0	4	4	23.1243799981172
1	12628	37.1832918373513	110.134001334284	1	0	5	1	3.53636647635723
2	1705	570.950330259388	889.944068892906	1	0	5	2	3.85823227761703
3	15510	123.554966939901	290.343413334629	1	0	5	3	11.4505157809345
4	7150	1236.75639851726	1235.36140198269	1	0	5	4	22.4595651494042
