STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	6919	1692.02036323815	1256.33570291905	1	0	1	1	15.5670453745451
2	4158	706.700397900707	803.392829237209	1	0	1	2	5.9823193767873
3	5566	2721.87121308808	2023.93020571239	1	0	1	3	20.1741800649276
4	19107	697.131164145605	705.39339681572	1	0	1	4	24.1368756135969
5	13695	137.637050354279	431.837692950306	1	0	1	5	10.5910676592482
1	286	1639.78571511996	3002.22531294932	1	0	2	1	2.77929575922209
2	5170	763.660265327205	639.668670746619	1	0	2	2	10.7046155144803
3	8844	1025.60814106211	1052.27650815957	1	0	2	3	30.1234048178359
4	11209	329.452771967479	491.84278235921	1	0	2	4	17.8450850060053
5	29205	33.6568765273612	250.176798411755	1	0	2	5	23.6499207776382
1	13948	666.674965403916	1122.63444213682	1	0	3	1	33.7088091906349
2	10923	1669.60364823971	1644.8161849153	1	0	3	2	38.6769673948603
3	22572	187.573520780319	670.0258938534	1	0	3	3	32.5577765578256
4	29777	35.4233840408498	99.0829431184605	1	0	3	4	6.35145095755958
1	330	395.629691864645	536.812959301249	1	0	4	1	2.31153783058528
2	1507	153.43050474357	125.893067997644	1	0	4	2	2.47559241639324
3	2596	61.3930741529432	71.39950720725	1	0	4	3	2.41859959823144
4	23804	5.17607919615878	12.5817509467462	1	0	4	4	3.90800490099451
1	3828	74.8413149052394	83.7386931816423	1	0	5	1	2
2	3740	506.778424179464	775.352625870267	1	0	5	2	16.6824334187612
3	11495	55.7451519727821	181.599440418802	1	0	5	3	12.0091430351125
4	17930	5.11950417269622	35.3443803996757	1	0	5	4	3.64576942348002
