STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	10043	1466.07223494031	2855.76178545484	1	0	1	1	11.9257890674594
2	7711	3613.47026785304	8047.48475997811	1	0	1	2	25.8031394359709
3	17930	1415.839871131	2615.44487693896	1	0	1	3	19.4996826776656
4	3157	3005.73713723133	8034.79811580078	1	0	1	4	10.5475412897637
5	10604	939.771607716736	2067.10197026219	1	0	1	5	9.11450952666491
1	4103	1144.10384422694	2761.38717826895	1	0	2	1	5.95176642178739
2	19371	561.940006994687	1382.6993117781	1	0	2	2	14.0700890383304
3	15356	1547.69184608159	5794.85876421015	1	0	2	3	46.7453070614175
4	8085	635.811991572517	1310.9590429601	1	0	2	4	5.56783306597001
5	7799	1520.31765110516	3394.2773400439	1	0	2	5	13.9060345190124
1	14828	1392.00301944356	2990.70918099571	1	0	3	1	20.3306613109124
2	4664	4099.65589932457	9386.67725701265	1	0	3	2	20.0708225693162
3	18348	1401.32770792945	4611.07770425731	1	0	3	3	38.7869755600455
4	22990	597.412696496076	1329.4062572441	1	0	3	4	14.0117194819652
5	16390	298.066854442746	580.706080071868	1	0	3	5	4.36345067443633
1	2101	226.442213442393	345.537919386146	1	0	4	1	3.03015180220565
2	1903	359.293514810219	563.470759116281	1	0	4	2	4.47561573044657
3	2090	544.61343913783	1139.59548335975	1	0	4	3	9.94121863240562
4	946	355.267470466065	593.574225195987	1	0	4	4	2.34373653714412
5	21197	287.043773564995	269.513944685223	1	0	4	5	23.8450512439893
1	16148	306.929695050989	371.998028841068	1	0	5	1	6.75394344837921
2	7513	635.987188371537	728.065463440396	1	0	5	2	6.15009550081763
3	2893	1154.94850475983	1357.48652043556	1	0	5	3	4.4155214618816
4	3916	1834.50676896177	3318.1735769654	1	0	5	4	14.6096504227717
5	6523	719.094388606126	898.62179129954	1	0	5	5	6.59056070998917
