STRATO	N	M1	M2	S1	S2	COST	CENS	DOM1	X1	SOLUZ
1	24728	123.742204489499	0	1495.46191920084	0	1	0	1	1	28.7935863059622
2	8030	50.2845114535682	0	167.091633396489	0	1	0	1	2	2
3	11275	349.781269553477	0	1353.18631395237	0	1	0	1	3	11.8797022923163
4	2651	3175.58355285799	0	5290.05643683363	0	1	0	1	4	10.9194670735512
5	2761	5960.39314268483	0	5768.82711183439	0	1	0	1	5	12.4018176174531
1	27819	109.234227933007	0	440.783780572834	0	1	0	2	1	9.67599544272417
2	5973	528.217604143295	0	644.267078074331	0	1	0	2	2	3.03659581700091
3	8789	960.275231938963	0	1222.70525544824	0	1	0	2	3	8.47988140546461
4	7084	1738.18673769679	0	1832.56407078322	0	1	0	2	4	10.2439218167705
5	5049	3851.0821209937	0	4167.50403586626	0	1	0	2	5	16.6038933407311
1	55891	485.876772264954	0	1825.03483087024	0	1	0	3	1	41.7372489003734
2	9108	2361.1928445662	0	3490.55006866554	0	1	0	3	2	13.0085136102968
3	6765	5663.37941982221	0	6115.17450135786	0	1	0	3	3	16.92729010035
4	2805	10427.0281466804	0	12531.4691083301	0	1	0	3	4	14.3828726546157
5	2651	6251.61728022292	0	6875.76334979094	0	1	0	3	5	7.4583271676695
1	14652	425.172408835618	0	1422.41496764615	0	1	0	4	1	3.90950051432977
2	968	4878.37846373349	0	34841.8576935362	0	1	0	4	2	6.32666313477068
3	2871	1009.75887834248	0	1893.5578403188	0	1	0	4	3	2
4	4884	4061.33997047045	0	15191.3163321423	0	1	0	4	4	13.9177526400818
5	4862	3307.88986113909	0	2650.59697153527	0	1	0	4	5	2.41744556128735
1	24673	536.887283472485	0	1986.74387715843	0	1	0	5	1	13.8931783681016
2	7832	2226.12378241711	0	5879.84178543788	0	1	0	5	2	13.0519706495143
3	913	10069.9783775198	0	18332.2446093748	0	1	0	5	3	4.74377618446087
4	1419	6481.54686314733	0	8256.11890385425	0	1	0	5	4	3.32044356986597
5	2156	6940.67307996791	0	18963.6969572544	0	1	0	5	5	11.5880279110246
