STRATO	N	M1	M2	S1	S2	COST	CENS	DOM1	X1	SOLUZ
1	33209	45.6602317015669	0	100.334545867878	0	1	0	1	1	4.84153131542239
2	6776	189.870988433648	0	224.006163183103	0	1	0	1	2	2.20551401832605
3	4279	330.40610021105	0	326.248145356563	0	1	0	1	3	2.02846162366424
4	3993	553.932369643547	0	819.708757633686	0	1	0	1	4	4.75592878601623
5	1188	2356.5976827944	0	1328.56448498961	0	1	0	1	5	2.29337744594604
1	11066	282.690771154085	0	702.03264080072	0	1	0	2	1	4.33059874298166
2	19096	636.342514792143	0	1123.31443528712	0	1	0	2	2	11.9575917120432
3	5687	1875.5892828001	0	1845.45376275498	0	1	0	2	3	5.85041092533862
4	14047	2869.90841977955	0	2508.3622180222	0	1	0	2	4	19.6414618455736
5	4818	4283.67335530772	0	2061.60260379449	0	1	0	2	5	5.53696431236434
1	27929	391.692020406718	0	956.293912636871	0	1	0	3	1	8.69175794940647
2	9482	1237.74672330542	0	1497.13504529376	0	1	0	3	2	4.61978509889964
3	30954	2835.95525219483	0	2709.27228449077	0	1	0	3	3	27.2916805166626
4	3916	8546.67499506099	0	8151.24155746846	0	1	0	3	4	10.3878888179664
5	4939	5912.41724959291	0	3129.3707598955	0	1	0	3	5	5.02987152924176
1	9493	2461.12353199648	0	6241.7571432829	0	1	0	4	1	7.43740957247231
2	11088	6462.04189220085	0	14168.3636160598	0	1	0	4	2	19.7189716166461
3	1210	12220.6472014696	0	22721.5396443397	0	1	0	4	3	3.45091670920937
4	2409	15472.0176532092	0	17869.719206555	0	1	0	4	4	5.40338457793129
5	4037	9273.92648526707	0	6642.22437379912	0	1	0	4	5	3.36576385277551
1	16764	1480.75047261286	0	4081.12022698293	0	1	0	5	1	15.7191377726549
2	11968	2937.33668884395	0	5174.93463237333	0	1	0	5	2	14.2297781129982
3	3069	5946.85059836305	0	6778.69649481964	0	1	0	5	3	4.77985538521057
4	2970	14049.4098856996	0	10752.9030785241	0	1	0	5	4	7.33759707424362
5	2222	5938.28190251766	0	6496.0509175978	0	1	0	5	5	3.31638661930828
