STRATO	N	M1	M2	S1	S2	COST	CENS	DOM1	X1	SOLUZ
1	15686	20613.6199950316	0	16110.9995924284	0	1	0	1	1	18.578615112486
2	5764	18248.9022937272	0	11893.0947311299	0	1	0	1	2	5.03961651693204
3	13244	15193.9239368054	0	9746.23816654126	0	1	0	1	3	9.48931432188955
4	10406	10487.451856724	0	12058.6051658275	0	1	0	1	4	9.22485476091723
5	4345	4824.22564051649	0	8046.84575048206	0	1	0	1	5	2.57036084911824
1	4488	12289.3145261949	0	11523.5916230767	0	1	0	2	1	3.64095359975111
2	6160	18160.4317581449	0	14974.3770229827	0	1	0	2	2	6.49387481910745
3	13552	13828.6914270593	0	8816.14898174537	0	1	0	2	3	8.4111765804726
4	16775	6069.16106995396	0	4263.70789852771	0	1	0	2	4	5.03528909113357
5	13739	2347.9465656385	0	2822.91874325414	0	1	0	2	5	2.73041045177298
1	6666	9520.78715934794	0	7875.02418794222	0	1	0	3	1	3.5431976400367
2	35574	13505.0582281529	0	10618.2610458133	0	1	0	3	2	25.4955433045755
3	14619	9040.81649155422	0	6803.40124042782	0	1	0	3	3	6.71308155414841
4	8371	5090.81281681436	0	4919.27991399213	0	1	0	3	4	2.77943837530598
5	11990	1835.51700528483	0	3040.77445991946	0	1	0	3	5	2.46082972598473
1	3410	2158.45166189692	0	1312.56070687894	0	1	0	4	1	8.38275984197727
2	8646	1423.14123575223	0	1012.03562053516	0	1	0	4	2	16.3879366346057
3	10285	891.800698719484	0	739.024193436426	0	1	0	4	3	14.2356138311986
4	3564	462.245478304927	0	540.495027852962	0	1	0	4	4	3.60780158262671
5	2332	584.450669751409	0	886.182354854781	0	1	0	4	5	3.87048056181436
1	8602	3401.08938518571	0	3689.40200731875	0	1	0	5	1	28.3346761711129
2	16786	2425.46274019643	0	2134.76110846967	0	1	0	5	2	31.9933219648224
3	3102	3588.48832348624	0	2566.43039770918	0	1	0	5	3	7.10778233438423
4	2816	2190.53380781106	0	1889.04319298199	0	1	0	5	4	4.74938497830992
5	5687	1468.13970976274	0	1763.59680630295	0	1	0	5	5	8.95458302681305
