STRATO	N	M1	M2	S1	S2	COST	CENS	DOM1	X1	SOLUZ
1	18260	20058.4206537368	0	8589.63748844212	0	1	0	1	1	22.3918421430485
2	13695	15305.7608619473	0	7330.75380772757	0	1	0	1	2	14.3325968883816
3	7117	11568.4630706278	0	5918.60876540284	0	1	0	1	3	6.01354844359501
4	5379	8743.46586947554	0	6213.1626417969	0	1	0	1	4	4.77120944647827
5	4994	4282.18559327559	0	5963.61100306425	0	1	0	1	5	4.25179248951405
1	15730	22333.1041831709	0	9001.07534456781	0	1	0	2	1	12.4899785520503
2	8844	15704.7659468562	0	6296.35765231552	0	1	0	2	2	4.91220741287738
3	7964	9167.41665579022	0	4256.17467907102	0	1	0	2	3	2.99012447611576
4	13112	5772.17628609935	0	3630.24617409655	0	1	0	2	4	4.19897790996519
5	9064	2342.80101072371	0	3580.52171566214	0	1	0	2	5	2.86289079285291
1	7414	18688.6502133373	0	13032.4241090094	0	1	0	3	1	4.55647769969018
2	18293	36307.2849633968	0	23636.1063172703	0	1	0	3	2	20.3897702387713
3	8217	18390.6310581215	0	13814.9268362215	0	1	0	3	3	5.35319839408804
4	20152	12060.7468073631	0	8645.33402765751	0	1	0	3	4	8.21582906515261
5	23144	5019.36356806613	0	5471.81804683818	0	1	0	3	5	5.97202381456194
1	4851	6388.17366084834	0	3593.71888889808	0	1	0	4	1	6.56752711479753
2	13508	4890.44972356218	0	3613.15990474639	0	1	0	4	2	18.3867398646964
3	4917	6362.98229736892	0	5016.4100562443	0	1	0	4	3	9.29222539483501
4	2805	3510.54722996733	0	4133.78527235541	0	1	0	4	4	4.36824789976913
5	2156	5016.52907172233	0	6489.3875372946	0	1	0	4	5	5.27082945763314
1	4378	11097.5463083847	0	7915.58247448678	0	1	0	5	1	5.14610059211564
2	11121	13122.6271494039	0	9701.93910081229	0	1	0	5	2	16.0221952810194
3	8162	7056.88459916375	0	4485.69793060436	0	1	0	5	3	5.43683622363769
4	7073	4152.8718665801	0	3025.45983708809	0	1	0	5	4	3.17771311101832
5	6259	2410.70106167636	0	2861.67797912222	0	1	0	5	5	2.65977775107518
