STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	21450	123.667194994405	751.715172479426	1	0	1	1	3.08249488868768
2	11308	640.897912084462	2637.37031366906	1	0	1	2	5.70136264354337
3	9790	1147.47863355231	4187.70143093546	1	0	1	3	7.83754693717471
4	3707	4031.87996153179	9717.93815755389	1	0	1	4	6.88681583827911
5	3190	9066.91248350481	20456.6223742872	1	0	1	5	12.4751668791567
1	19602	571.251032887891	3362.44225554508	1	0	2	1	2.34551240914668
2	17105	2463.30493139338	11222.5983304346	1	0	2	2	6.8312316571387
3	3531	15845.839386608	70097.8812119184	1	0	2	3	8.80815856057808
4	7315	2521.51794522461	23560.7568551058	1	0	2	4	6.13318525931748
5	7161	17245.9613940421	89192.1672097699	1	0	2	5	22.7291348711384
1	8789	186.298777257684	1537.41226962267	1	0	3	1	2.33800976739859
2	17644	872.636329384944	3523.11080038441	1	0	3	2	10.7557293366625
3	13200	3391.45273810488	9937.89084969304	1	0	3	3	22.6978471787852
4	20317	5743.62346723178	16716.3599824436	1	0	3	4	58.7648740345079
5	17270	4433.66594522061	10321.8699557511	1	0	3	5	30.8437542839354
1	18788	152.465272402759	465.424292271005	1	0	4	1	2.54725718531042
2	1793	2421.97531826628	3854.00620917905	1	0	4	2	2.01296348552756
3	1595	3096.14187787285	5670.20251122979	1	0	4	3	2.63452579289644
4	1881	3169.6695615744	6848.81718774931	1	0	4	4	3.75273214164468
5	4180	5002.60805159273	8296.6730789183	1	0	4	5	10.1023743316714
1	16335	318.796679838489	1143.47167925826	1	0	5	1	3.62179601022656
2	8008	1826.43919649576	6202.03151479201	1	0	5	2	9.6302479176601
3	3971	4291.988304749	6139.30233165551	1	0	5	3	4.72713866853076
4	2200	9777.81400731787	18188.6760139639	1	0	5	4	7.75895445146336
5	6479	5980.09794404161	11960.5088396172	1	0	5	5	15.025781553154
