STRATO	N	M1	M2	S1	S2	COST	CENS	DOM1	X1	SOLUZ
1	20218	26129.8722549047	0	39253.0949187687	0	1	0	1	1	29.8739414162584
2	8327	40321.5406067225	0	39802.2947193117	0	1	0	1	2	12.4760499287306
3	4664	51420.3653932679	0	46272.4053375854	0	1	0	1	3	8.12383409573108
4	11781	65380.2421500605	0	60544.5331801637	0	1	0	1	4	26.8495814054139
5	4455	14912.0063508336	0	11794.5450428515	0	1	0	1	5	2
1	21989	35351.3065981157	0	55266.4342852965	0	1	0	2	1	37.4272284997232
2	12628	80971.4833653096	0	62466.0559870481	0	1	0	2	2	24.2940210408118
3	10120	98952.7324233153	0	81194.7537990974	0	1	0	2	3	25.3063334203714
4	5170	67501.4491824802	0	61584.833606802	0	1	0	2	4	9.80584579703525
5	4807	4353.80199489878	0	6540.1140347864	0	1	0	2	5	2
1	23408	35433.1853544833	0	45524.6262772771	0	1	0	3	1	20.4200498181457
2	15235	84785.0342921662	0	75682.2927640456	0	1	0	3	2	22.0944318426273
3	26587	107628.759119306	0	89736.9578096866	0	1	0	3	3	45.7179530354017
4	5621	44771.79002427	0	49599.0613690204	0	1	0	3	4	5.34235990586483
5	6369	13504.8825818062	0	16291.2224968659	0	1	0	3	5	2
1	3520	17792.2903251716	0	19105.1080935764	0	1	0	4	1	6.11637853568214
2	2629	26236.3622947429	0	25742.5684667916	0	1	0	4	2	6.15523524129773
3	11286	36470.5089386913	0	23667.38065513	0	1	0	4	3	24.2936312245201
4	6820	35952.4279724361	0	30373.6196340785	0	1	0	4	4	18.8400962663762
5	3982	17632.2281172055	0	16631.7946290804	0	1	0	4	5	6.02341189452721
1	8602	27651.0968048987	0	35488.6471973466	0	1	0	5	1	20.9500994225049
2	15741	43011.8039216691	0	34301.6738386661	0	1	0	5	2	37.0548310493589
3	7337	29066.4424168088	0	32494.14558498	0	1	0	5	3	16.3614144721755
4	2574	19699.1449703829	0	18866.6953203668	0	1	0	5	4	3.33274115180776
5	2739	23356.7164100132	0	35489.3636403728	0	1	0	5	5	6.67094637871877
