STRATO	N	M1	M2	S1	S2	COST	CENS	DOM1	X1	SOLUZ
1	45573	541.931776822543	0	6122.72119866935	0	1	0	1	1	2.31101357502807
2	1782	85373.6806297021	0	151393.786105714	0	1	0	1	2	2.23442686241685
3	1166	184588.73913673	0	208621.320455777	0	1	0	1	3	2.01468723321471
4	924	227551.028849843	0	272577.01231405	0	1	0	1	4	2.08598697447456
1	33880	36.9725779199851	0	574.260486272301	0	1	0	2	1	2
2	9053	3686.81433244017	0	26468.3341932122	0	1	0	2	2	2.09681452152315
3	6710	6891.28483194964	0	38617.9397693066	0	1	0	2	3	2.26752720797353
4	3608	203507.322116252	0	153011.988718505	0	1	0	2	4	4.83095369159796
5	1463	148110.015855197	0	154726.988434438	0	1	0	2	5	2
1	66396	136.9172592989	0	3562.47985691635	0	1	0	3	1	2.29305125934293
2	6259	13782.0695550909	0	46865.9225982059	0	1	0	3	2	2.8436854242128
3	2398	151203.535909945	0	137217.953361105	0	1	0	3	3	3.18991819410159
4	2167	204475.013428167	0	161148.778192659	0	1	0	3	4	3.38536389307325
1	10483	249.45688906354	0	3753.4761374438	0	1	0	4	1	2.12436337661203
2	11693	759.362617624386	0	6045.81950560364	0	1	0	4	2	3.81672340245356
3	3553	6355.01992319011	0	15068.5026225244	0	1	0	4	3	2.89051259586914
4	935	28723.2004060742	0	37113.3461766824	0	1	0	4	4	2
5	1573	45544.9410013166	0	51666.5479949129	0	1	0	4	5	4.3878091480228
1	23958	28.3171491373462	0	219.286693969174	0	1	0	5	1	2
2	6292	157.038359997438	0	674.072027455826	0	1	0	5	2	2
3	2772	1100.25039770439	0	2552.00181066096	0	1	0	5	3	2.41933476893105
4	2123	5244.11530279823	0	7050.52334727359	0	1	0	5	4	5.11909408890361
5	1848	3374.72229159596	0	4448.56294622452	0	1	0	5	5	2.81153484103149
