STRATO	N	M1	M2	S1	S2	COST	CENS	DOM1	X1	SOLUZ
1	10879	122.501963853388	0	95.8786461647574	0	1	0	1	1	4.52098095914871
2	20581	198.391127911807	0	156.930920139495	0	1	0	1	2	13.998993180497
3	4477	281.092762610411	0	237.090852357262	0	1	0	1	3	4.60069772835073
4	9075	412.015702049498	0	297.368962177548	0	1	0	1	4	11.6967196030906
5	4433	248.43247079318	0	199.626941672178	0	1	0	1	5	3.83564754027385
1	5104	816.262492431002	0	574.540214770573	0	1	0	2	1	2.62969485716604
2	23749	1210.91314837288	0	684.534186522416	0	1	0	2	2	14.5785633590589
3	9141	1739.82611810387	0	834.565638551739	0	1	0	2	3	6.84113983234252
4	11759	2241.79298887397	0	861.117050516284	0	1	0	2	4	9.0804388440223
5	4961	223.69057149216	0	199.868368469851	0	1	0	2	5	2
1	24574	1373.72671659191	0	1512.35664138996	0	1	0	3	1	20.3169605785073
2	31317	2419.17951774875	0	1483.02879999908	0	1	0	3	2	25.3897487623089
3	13002	3351.98424790186	0	1940.68827332665	0	1	0	3	3	13.7941393664988
4	3003	2068.39741748644	0	2046.38809144976	0	1	0	3	4	3.35947952240506
5	5324	483.416141060355	0	391.261240197749	0	1	0	3	5	2
1	3256	980.711044278969	0	791.828435448213	0	1	0	4	1	2.87572347563007
2	5115	1483.89852985669	0	713.2504555626	0	1	0	4	2	4.06929644110989
3	7249	1732.64546953837	0	912.267442495989	0	1	0	4	3	7.37618683060737
4	10153	1937.4325416975	0	755.674506235911	0	1	0	4	4	8.55777354284653
5	2464	1462.41344373411	0	721.089057679439	0	1	0	4	5	2
1	10417	875.352839137497	0	424.983096287147	0	1	0	5	1	8.4727497737517
2	6171	999.886330362757	0	430.162213619395	0	1	0	5	2	5.08039950269678
3	8360	1234.56241307531	0	578.363702730201	0	1	0	5	3	9.25374157425278
4	9856	981.409162205201	0	578.225929806966	0	1	0	5	4	10.90707546642
5	2189	719.97679820619	0	572.058600480264	0	1	0	5	5	2.39660433712627
