STRATO	N	M1	M2	S1	S2	COST	CENS	DOM1	X1	SOLUZ
1	6127	21343.3402822136	0	32998.4973889417	0	1	0	1	1	25.2571871557698
2	6842	12777.0731538941	0	17939.7763558561	0	1	0	1	2	15.3335612436463
3	13299	6857.82685616145	0	11261.675629364	0	1	0	1	3	18.7096187480904
4	8932	3824.23015484668	0	6516.92603992906	0	1	0	1	4	7.27167473177118
5	14245	1071.08764623455	0	2998.21393102377	0	1	0	1	5	5.33541258639894
1	2068	10339.4872423793	0	10286.0533824352	0	1	0	2	1	6.553868215915
2	6853	5925.17725662778	0	6854.58669228187	0	1	0	2	2	14.473061294821
3	3047	1958.50321936103	0	2760.19428085596	0	1	0	2	3	2.59125708176672
4	12056	682.289651143606	0	1516.78553911668	0	1	0	2	4	5.63411639614447
5	30690	115.222195089779	0	950.268325814961	0	1	0	2	5	8.98548530373209
1	10098	5041.20922949329	0	9239.4951271849	0	1	0	3	1	37.8128123297846
2	15939	2509.33543866138	0	4724.24170336415	0	1	0	3	2	30.5174717901502
3	19910	414.219387349739	0	2086.59198170719	0	1	0	3	3	16.8369788481238
4	16709	65.6487839412379	0	388.964879559821	0	1	0	3	4	2.63400273088718
5	14564	55.6009099763067	0	975.964492593316	0	1	0	3	5	5.76063103606751
1	2387	20.6258031226882	0	17.2695597853972	0	1	0	4	1	7.65992133431239
2	1408	14.2445407290587	0	14.4698407521304	0	1	0	4	2	3.78579444517273
3	2024	9.10359799707417	0	10.3025477890214	0	1	0	4	3	3.87476857794874
4	8085	3.18886447151098	0	5.5714832801402	0	1	0	4	4	8.37030877530281
5	14333	0.349792017098347	0	1.44285141769466	0	1	0	4	5	3.8428137388387
1	286	50.2833419788619	0	68.0354302487439	0	1	0	5	1	2.54897673724506
2	3498	23.4833363602913	0	31.4288620469147	0	1	0	5	2	14.4016802748216
3	3223	10.679482717215	0	16.3762780937307	0	1	0	5	3	6.91417254837832
4	24134	2.44957824363277	0	7.85620419536099	0	1	0	5	4	24.8374367761484
5	5852	0.227877103800027	0	0.919405672407629	0	1	0	5	5	2
