STRATO	N	M1	M2	S1	S2	COST	CENS	DOM1	X1	SOLUZ
1	10439	23427.0810717872	0	30932.3499164004	0	1	0	1	1	4.13820024720388
2	6457	19551.4405469952	0	31501.6978856012	0	1	0	1	2	2.60678035144907
3	12111	19235.7300167187	0	26406.8463247498	0	1	0	1	3	4.09860657596774
4	10626	21036.815496116	0	26102.32547408	0	1	0	1	4	3.55458335221134
5	9812	13697.9751063891	0	17945.9528882961	0	1	0	1	5	2.25664764461114
1	7964	13668.9432156894	0	20613.2714225554	0	1	0	2	1	2.13907094388921
2	6512	17705.6408465985	0	31201.5191660042	0	1	0	2	2	2.64750718288388
3	22055	7517.73434451175	0	11512.4549208547	0	1	0	2	3	3.3084305321995
4	18183	12639.0439319587	0	16906.2379229534	0	1	0	2	4	4.00552577418797
1	19492	15805.6877664726	0	33206.3659773903	0	1	0	3	1	12.0165974040553
2	10087	14185.5626383142	0	39678.2857384444	0	1	0	3	2	7.43051097130253
3	19228	12119.9353186041	0	28676.4457080495	0	1	0	3	3	10.2367758448765
4	17589	9286.85863277424	0	14682.9731159047	0	1	0	3	4	4.79467208914823
5	10824	7156.13491500027	0	10257.2872463269	0	1	0	3	5	2.06121863246235
1	9900	3286.09833599491	0	2429.59749159928	0	1	0	4	1	2.73474758691263
2	9504	2940.74419707235	0	2331.21364307499	0	1	0	4	2	2.51904674364448
3	8833	4009.9516109297	0	2112.13831414441	0	1	0	4	3	2.12118383018935
1	5830	11328.6309538313	0	21114.3774175927	0	1	0	5	1	7.54142154248839
2	3817	7393.14803076228	0	15192.6087762846	0	1	0	5	2	3.55271931105354
3	16093	6327.21740145059	0	9495.10001310568	0	1	0	5	3	9.36144601201661
4	5511	9492.36546416697	0	12304.7919655267	0	1	0	5	4	4.15442639419904
5	5742	4537.02828016484	0	4182.40855528368	0	1	0	5	5	2
