STRATO	N	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	COST	CENS	DOM1	X1	SOLUZ
1	8151	1247.05274362597	1478.60026178877	1668.99318858185	83.9836138851856	49.8872999948353	553.165851110656	1158.77280937353	1.36785010950695	1436.92873451282	397.856987778104	8.38256176361416	0.144224969697021	40.7395378557681	192.259865909012	2.20593186064462	4352.52808386338	2262.55069255081	2678.00379653643	253.557969443058	132.126922289	1059.63386365209	1720.53335511998	3.26711264144372	1638.77067233971	3396.86026839846	174.103173455154	0.357400592919327	209.748050121775	992.457588862442	29.8847145146486	1	0	1	1	11.5791810428561
2	24585	2030.91346273082	1749.72772988679	3429.74970974419	1863.76533472918	100.234498094704	1062.6959739267	1336.89392253413	5.09495521146785	1702.34792608705	287.389127095943	9.89215350307657	0.313964733465797	66.2093876880738	666.641321484841	30.5788010472096	8690.41399957786	4395.79425524178	8050.3913280694	5469.56434002526	278.121313697733	3332.94694299029	2406.69519694152	16.596122730103	1867.31163706969	3359.41632719588	175.781712044633	0.682257306138382	495.708413720084	7000.23341374974	848.630244364735	1	0	1	2	57.7804494492042
3	16709	1587.73635784018	865.933585128634	4763.59855702461	976.942954842396	459.599176133475	122.680835379824	170.427554857251	42.8804581915358	772.969691129078	3009.63142713775	159.55327987934	0.272912458681117	92.6637707608937	492.28424303019	694.669759575658	7804.16213843551	2689.64242581091	12092.7596406472	3500.54408476806	962.714343302622	521.885401128819	587.271203106518	125.305670836306	1074.39371135886	15312.5499451827	561.119780530275	0.630961377144806	426.876594689153	5418.29988771435	2369.04393254997	1	0	1	3	37.0221515036109
1	49390	1065.33014729071	887.338257247262	5715.26497168681	767.058031505637	417.544661631157	149.931269073522	365.297327429532	118.686465164684	1205.6057050884	2667.37457251968	49.2031991631146	2.62296899102222	153.897199196826	495.064004595293	56.2133483787085	7090.95089422196	2656.39521038918	11884.5468099861	2547.33129541702	1174.68577284188	747.816412753639	1111.24137695618	299.535442404775	1701.77660630247	34441.1285752775	170.343685160535	13.7763018649285	1525.66880109554	4391.07146602553	412.216178087938	1	0	2	1	110.597450561521
2	803	1177.83612318483	218.01151052471	2448.76626649003	453.303975001712	234.027477165084	7.48979730332867	112.672928817442	314.641942618991	373.587170607669	44510.9216450848	392.751553186655	3.06573769479005	70.8966508550931	59.1852974195875	1994.39422372105	4298.7850357468	499.490791802412	5062.69167586661	2850.18650506303	355.962829869211	42.5053276435636	711.045788517306	449.189014311362	951.713882052431	443128.03061589	748.010953801221	4.51447932718687	297.557397747986	383.745233450894	2777.83538958087	1	0	2	2	2.02058686101718
3	4521	582.856639126808	46.98343679516	648.426308222158	39.4039130892507	92.1767728790895	1.79088083926827	1.32452522142471	387.515856133965	74.1752211257907	18430.1304833201	317.35739688481	3.89047996305438	15.6486435143031	25.5022095928884	1717.61293483531	2816.77888177661	276.11792115043	3615.06346500692	370.073275964693	248.238019777342	33.4749504845214	21.3668072772451	527.835225871955	292.123070638679	148606.500659383	689.707440581823	5.62260789835847	110.309122741113	601.761564891688	2390.13664920707	1	0	2	3	8.4346994288288
1	28237	1347.09456938053	1198.07349603678	3713.74416621256	1006.71276196374	112.593657737871	301.451164487688	1010.09776205066	35.8849234345133	2770.05207629907	822.047744187966	28.23182167271	2.28161336480111	38.7098594367955	91.933552476325	5.6598840000525	6982.38047231341	3149.16062539089	8903.32246641116	5315.51988373447	489.295455227517	1059.07105337659	2172.76282719449	150.795309542495	4370.07819965418	6295.2481399931	258.902944875151	9.03886096589041	405.623052885962	660.259472319357	143.451809419074	1	0	3	1	60.8221675953366
2	19745	1100.48842552389	1095.36976725541	9160.85752006823	1020.18312083456	324.754743953067	31.8416187355505	171.781548884723	159.168166052757	1305.97923048005	4299.29903884414	48.0247162237891	7.46827439212387	407.563260578894	206.09689991665	12.950093053587	6800.73673337139	3726.97571216359	18293.4888884362	5262.71574211579	656.623088934397	279.636147673998	818.903463415939	346.702717066868	1869.30534076094	23798.5797002216	275.909662954288	30.5940832571026	2633.77377986128	1484.24807416855	65.7351765108524	1	0	3	2	47.763188193474
3	29238	771.572555544791	427.603611650573	6553.039766985	606.170768552316	336.909645890788	5.61075193462144	42.1844365678059	397.918400049202	527.5789311702	5122.76377244524	354.75389487568	8.67976167853486	143.095342632048	79.0743679157338	634.626146348174	3117.93167770634	1170.50523999158	14561.6238205858	1979.72545497619	648.765271703012	108.602196947946	586.562512160159	736.559481576987	875.252930953124	23585.4581589673	1017.92530518157	31.8936664515784	788.525845240617	919.383141166587	1443.89316266559	1	0	3	3	61.6990985161348
1	12628	335.678013871312	126.466509023718	3324.97861701311	568.109480817659	355.866412571667	0.371008890417557	46.580077644574	575.872630057836	541.382705554016	167.469193567717	169.092920982448	5.7560584797189	31.8747159637525	8.52049833621529	297.031888121268	1104.61564190096	201.258130945538	5254.62940614167	1163.49628334786	1144.66859876254	0.992169271204823	187.095143364774	1621.99142666039	780.418961115772	859.702738142315	1307.63415292081	9.74259989025103	130.572015332113	23.8972513195795	1271.60741113278	1	0	4	1	28.5123620776276
