STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	18183	160.053198287142	749.604065510227	1	0	1	1	10.3288225447278
2	2035	1512.18804794133	9652.47540668388	1	0	1	2	14.8852612512102
3	8294	705.128577803665	4877.7131140925	1	0	1	3	30.6572805690694
4	13585	271.399301135519	2077.60668490581	1	0	1	4	21.3883026467497
5	7348	46.5297702399398	297.428952413816	1	0	1	5	2
1	1419	103.654940731961	275.057771584624	1	0	2	1	5.03520603255978
2	17138	29.868091217857	104.086528690704	1	0	2	2	23.0125949653603
3	4763	87.589620294324	514.766756936485	1	0	2	3	31.6302048541023
4	6116	25.5090402417326	107.353892982963	1	0	2	4	8.47024953495723
5	25278	9.9237825464614	54.1036564132512	1	0	2	5	17.6433177705327
1	5390	2.54650724301748	13.3248683172949	1	0	3	1	2
2	19965	10.7020367702279	51.6947982939645	1	0	3	2	22.3527505457898
3	14784	18.5329804213521	127.556360966031	1	0	3	3	40.8421773215336
4	5852	40.9464508378584	310.43834171251	1	0	3	4	39.3454470453382
5	31229	7.97137011277311	29.6555254859119	1	0	3	5	20.0575790962872
1	3190	9.32179728132441	25.4295175374701	1	0	4	1	17.7215699048225
2	5357	6.48582973039192	14.4568247365587	1	0	4	2	16.9187374487943
3	9361	2.50749336199297	6.3038512758046	1	0	4	3	12.8914447682088
4	2563	3.55517079609622	12.089468978528	1	0	4	4	6.76907334663275
5	7766	1.44775791244863	3.37723690773195	1	0	4	5	5.72970551593547
1	11220	1.26005188151234	2.04809464556954	1	0	5	1	36.0614585364562
2	1705	2.43904796936501	4.16824334882253	1	0	5	2	11.1526444824881
3	6512	0.872299426772421	1.5571202739663	1	0	5	3	15.9124466378316
4	10439	0.492922821393367	0.89636357716139	1	0	5	4	14.6839706488615
5	7117	0.175081170812807	0.476893308943878	1	0	5	5	5.32621390403526
