STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	19976	1.43403775583962	3.34787898031568	1	0	1	1	2
2	21868	12.6998598233582	31.9319686856048	1	0	1	2	15.4351754335377
3	6303	44.6400217225774	112.06103577869	1	0	1	3	15.6127264131013
4	1298	204.287724417292	314.788186651167	1	0	1	4	9.03170883506883
1	14113	30.4787409957983	70.0288324057747	1	0	2	1	7.9391821742984
2	16093	59.6760306525521	192.293367088448	1	0	2	2	24.8588398178527
3	7106	180.405334101269	314.839404141748	1	0	2	3	17.9718930513835
4	17402	298.475350126398	484.589262790816	1	0	2	4	67.741138589482
1	21406	20.8629913566723	75.639460352851	1	0	3	1	7.37125519379141
2	16313	97.3971991120632	229.470382249001	1	0	3	2	17.0418986917524
3	29942	249.573184673873	436.176065922068	1	0	3	3	59.456609642003
4	4301	819.865397860104	1409.1620374335	1	0	3	4	27.5922986077901
5	5258	524.153885236434	684.079520496722	1	0	3	5	16.3751269183414
1	11352	276.311669632564	828.824146134206	1	0	4	1	12.9481886040514
2	8349	913.38873032583	1907.61485932971	1	0	4	2	21.917923014145
3	1617	1714.67975744104	5470.57074807498	1	0	4	3	12.1735403117201
4	3641	774.602454477231	1609.98059218118	1	0	4	4	8.06706505285765
5	3278	234.91054429411	492.581077297629	1	0	4	5	2.22208625430303
1	14179	129.525209459686	312.571412536823	1	0	5	1	12.4295232952576
2	2123	1353.12421270628	2231.59277879884	1	0	5	2	13.286927225857
3	4521	109.117232225815	185.719339689622	1	0	5	3	2.35478495659603
4	16170	427.866869814215	988.724161194892	1	0	5	4	44.8378501988215
