STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	45386	42.9607860722039	707.632275710014	1	0	1	1	2.35404526440486
2	2816	9537.60215647364	23668.7130992733	1	0	1	2	4.88531490285651
3	1243	21007.7678342145	43048.626120152	1	0	1	3	3.9220731705441
1	32780	2.76921543429309	64.8024378079263	1	0	2	1	2
2	11869	309.091393774983	3523.39719350971	1	0	2	2	3.59046485595407
3	4917	663.217772851259	5331.5929641941	1	0	2	3	2.25077530066351
4	5148	17037.8968954094	27543.847986438	1	0	2	4	12.1741345495613
1	64020	9.67555290101737	326.847761577049	1	0	3	1	2.05294043847867
2	8591	921.507732659794	5655.81071038062	1	0	3	2	4.76709437307095
3	4609	15678.2782234796	25055.1483100941	1	0	3	3	11.329711485431
1	17193	80.4618336690523	834.684986508419	1	0	4	1	7.92947250959166
2	1452	608.559876698917	2199.70728043216	1	0	4	2	2
3	2079	3846.67784996612	7151.06503138803	1	0	4	3	8.21476699532569
4	7513	189.204122041964	898.946505697357	1	0	4	4	3.73179063220728
1	24464	2.31340583151827	23.4517070620957	1	0	5	1	2
2	7964	32.0092722679837	151.585185982705	1	0	5	2	3.68243831920366
3	4565	386.38441346352	867.437499277828	1	0	5	3	12.07887379165
