STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	13090	416.710541668036	927.537750947165	1	0	1	1	4.18842884879765
2	5390	971.387355863972	2466.8705624423	1	0	1	2	4.58685518450578
3	2827	3062.86152982623	7855.63509418887	1	0	1	3	7.66102732380514
4	19030	580.191000363922	1672.25061585802	1	0	1	4	10.9779198086999
5	9108	251.959412545768	719.704402278812	1	0	1	5	2.26129427024356
1	3608	305.904136665011	639.589188790619	1	0	2	1	2.41913404302225
2	4851	597.178843507701	1010.24743058346	1	0	2	2	5.13749390064786
3	40205	26.6167951351115	169.684430201862	1	0	2	3	7.15178336870145
4	6050	388.177076975175	1731.81119277686	1	0	2	4	10.9836884804505
1	10142	503.252448552728	1530.77834852459	1	0	3	1	16.2417715321605
2	11616	273.775404070892	813.837323457161	1	0	3	2	9.88989513188017
3	15554	46.2296300357928	271.26005650132	1	0	3	3	4.41392980742933
4	39908	7.55786724844123	41.5160540035981	1	0	3	4	2
1	3872	0.877518684362603	1.52769389969997	1	0	4	1	3.46900889801534
2	1562	2.70919698537232	3.85987135645487	1	0	4	2	3.53579909918379
3	22803	0.132878523594624	0.577801894413142	1	0	4	3	7.72688892775095
1	2398	1.57637708330566	2.7593484523608	1	0	5	1	2.14076095616378
2	1320	4.76101670185113	8.20260083281882	1	0	5	2	3.50298242701839
3	15598	0.368185194151381	1.35198126486576	1	0	5	3	6.82263344818436
4	17677	0.0981797096934222	0.423735361528844	1	0	5	4	2.42334763847317
