STRATO	N	M1	M2	S1	S2	COST	CENS	DOM1	X1	SOLUZ
1	2893	2389.85118490768	0	3981.49352952057	0	1	0	1	1	2.2085892805934
2	2442	8396.38553355131	0	8007.25275429775	0	1	0	1	2	3.74929583309182
3	10626	1499.47135859059	0	3033.64315581474	0	1	0	1	3	6.18094412295857
4	9603	4870.59653982007	0	6476.45595403664	0	1	0	1	4	11.9251776422675
5	23881	1563.52515630246	0	2385.56916339371	0	1	0	1	5	10.9235809900921
1	5016	2248.21252861663	0	3409.2155005983	0	1	0	2	1	8.49550709222435
2	19580	565.351477896397	0	1122.9506540227	0	1	0	2	2	10.923220095256
3	28677	95.7782576469349	0	403.633673023116	0	1	0	2	3	5.75040497130738
4	1441	1365.13324139538	0	2670.87522979896	0	1	0	2	4	2
1	9251	1700.35350240176	0	2416.54000081393	0	1	0	3	1	5.7396642315977
2	11748	2624.49817029958	0	5444.89396613444	0	1	0	3	2	16.4231773328938
3	16753	533.756988564551	0	1381.94798495213	0	1	0	3	3	5.94412731971532
4	39468	20.8391480674031	0	78.3184351923775	0	1	0	3	4	2
1	7711	1.40417277100999	0	0.830303464969365	0	1	0	4	1	2.67528752624128
2	7271	0.875128906568237	0	0.655352382313002	0	1	0	4	2	2
3	13255	0.229060675444698	0	0.33384656100107	0	1	0	4	3	2
1	11132	2.49675470294756	0	4.63947833952122	0	1	0	5	1	2
2	1639	56.0977862961799	0	55.5985287429474	0	1	0	5	2	2.23757044180872
3	24222	1.26693916870991	0	3.69119010099326	0	1	0	5	3	2.19538592601559
