STRATO	N	M1	M2	S1	S2	COST	CENS	DOM1	X1	SOLUZ
1	18953	37.5612220235912	0	816.779723560493	0	1	0	1	1	2
2	5357	1542.51739228218	0	4277.02858494331	0	1	0	1	2	2
3	1298	16062.5737402123	0	41704.2947731924	0	1	0	1	3	3.26056501011449
4	23837	520.863665094956	0	3087.49961685649	0	1	0	1	4	4.43298129210943
1	33286	37.9505878735068	0	610.405643305875	0	1	0	2	1	2.59026660033334
2	12089	615.357409733419	0	2196.12118883099	0	1	0	2	2	3.38462841742258
3	9339	3393.81808193176	0	8614.38135342597	0	1	0	2	3	10.2562544287474
1	23947	144.136781633641	0	2081.77872738429	0	1	0	3	1	4.27763151676639
2	41701	123.289486524202	0	831.347131516254	0	1	0	3	2	2.97472321354401
3	5984	3425.80590144633	0	8116.83292331285	0	1	0	3	3	4.16769454681997
4	5588	10916.4655913593	0	19811.169251642	0	1	0	3	4	9.499137978947
1	8525	431.505924269598	0	3920.88178297127	0	1	0	4	1	2
2	1364	8023.54265883979	0	29819.7511292013	0	1	0	4	2	2.3204489703667
3	11484	1201.91084699304	0	4560.44652215727	0	1	0	4	3	2.98781833797678
4	6864	14509.6951168779	0	19252.4040832903	0	1	0	4	4	7.53903709983239
1	14058	266.180519997597	0	812.511877447841	0	1	0	5	1	2
2	6710	3236.10581755983	0	5824.23011720803	0	1	0	5	2	3.89155662062546
3	1826	11166.7441000341	0	21286.1442545618	0	1	0	5	3	3.87043770567886
4	14399	851.196648732263	0	1873.11224342698	0	1	0	5	4	2.68570583068923
