STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	11803	6.32328067879784	41.9047292970202	1	0	1	1	2
2	836	907.678623034208	5298.70789042846	1	0	1	2	2.79366984852201
3	10186	47.8114146442535	481.949249841422	1	0	1	3	3.09602034139384
4	21461	17.8163939583737	185.244455685782	1	0	1	4	2.50722897454034
5	5159	2069.04044893893	3688.18785329375	1	0	1	5	11.9998933438775
1	29282	4.20804028226546	65.0372541209432	1	0	2	1	2.09390551214151
2	17336	97.9463032626777	491.041900385931	1	0	2	2	9.35969284925475
3	2959	383.398042526707	1220.88626280717	1	0	2	3	3.97204645532368
4	5137	1788.49759776509	2470.61045774369	1	0	2	4	13.9542978291997
1	24354	2.10386141205038	33.298753967808	1	0	3	1	2
2	31537	22.4324566075767	188.521915406422	1	0	3	2	6.61574411293183
3	9834	188.152605091139	554.441730398243	1	0	3	3	6.06712009374627
4	5874	1026.64222007909	1490.64556814026	1	0	3	4	9.74327168424946
5	5621	1837.97154504668	2334.56610831737	1	0	3	5	14.6021309572728
1	3894	138.647069519131	1227.7656272303	1	0	4	1	6.04405660103884
2	6809	32.877342772022	242.248724823239	1	0	4	2	2.08526828833645
3	6281	357.810042814859	1157.68743697353	1	0	4	3	9.19257578126106
4	5269	1531.29985979833	2292.51824108002	1	0	4	4	15.2706703983423
5	5984	365.907276033937	876.408043681895	1	0	4	5	6.63002314741438
1	11605	27.9502835248702	147.597570783167	1	0	5	1	2.30218984009597
2	1441	451.905987759514	1016.52093367762	1	0	5	2	2
3	13134	75.2026527474158	301.286439172441	1	0	5	3	5.31855157463332
4	5082	488.470444985408	905.114258432251	1	0	5	4	6.18236790201076
5	5731	1339.14709009439	2047.30006755617	1	0	5	5	15.7698908587185
