STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	10714	5.0869081533963	37.7259682483256	1	0	1	1	2
2	2057	376.866365896379	3407.38532556263	1	0	1	2	4.89043528211764
3	31548	28.3773981882443	315.783129756734	1	0	1	3	6.95108713336773
4	5126	2078.03979329777	3697.47891991632	1	0	1	4	13.2244093546796
1	28677	4.20925153655286	65.6802795148517	1	0	2	1	2.0698316185733
2	19118	100.886920079035	504.776861268612	1	0	2	2	10.6049397220531
3	1859	495.658915749534	1410.50618114443	1	0	2	3	2.88151371944318
4	5060	1812.70931772722	2480.43465009498	1	0	2	4	13.7925515117806
1	24178	1.87941744253916	30.4562673732251	1	0	3	1	2
2	34166	25.2273297479669	190.186952927409	1	0	3	2	7.20958395493824
3	8965	287.970634481762	680.460602459826	1	0	3	3	6.76844066009313
4	9911	1562.07272299029	2084.00685321112	1	0	3	4	22.9166939823103
1	3102	58.278374320132	211.278381166939	1	0	4	1	2
2	2431	346.048816469182	1904.2222678342	1	0	4	2	5.70395143587694
3	5995	196.606261321568	816.623948689762	1	0	4	3	6.03232206551341
4	9669	131.882295086813	551.644381907332	1	0	4	4	6.57224857199002
5	7040	1391.09628662386	2091.63953597656	1	0	4	5	18.1439868432882
1	12628	38.5654170069632	163.853001676203	1	0	5	1	2.83223102539666
2	1738	530.36854510346	1071.70054592529	1	0	5	2	2.54954642780429
3	14762	104.100381349559	358.580034600701	1	0	5	3	7.24554414290281
4	7865	1166.53725845683	1865.89508550151	1	0	5	4	20.0874888500526
