STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	7304	1398.75755312499	2213.98574625421	1	0	1	1	21.6129746573812
2	3861	3114.72792333756	4169.85930341806	1	0	1	2	21.5179137463376
3	12166	1186.42105531966	1734.005931027	1	0	1	3	28.1953409023871
4	26114	324.878610314955	795.29904404366	1	0	1	4	27.7576579239067
1	528	1555.05577539908	4262.46683756481	1	0	2	1	5.01361445206933
2	8349	773.746586621976	1110.37182361247	1	0	2	2	20.6518466571981
3	4268	1247.23810461428	2293.41987139582	1	0	2	3	21.8053960819614
4	11385	389.360907019513	794.54775976211	1	0	2	4	20.1515770919172
5	30184	36.4873338219767	354.582319472429	1	0	2	5	23.8423943388085
1	13585	714.028882691867	1654.81668177384	1	0	3	1	35.2276113958994
2	8426	1915.34195030989	3077.63377608253	1	0	3	2	40.6361035419185
3	25729	243.674994721993	1063.31253639453	1	0	3	3	42.8703969769059
4	29480	35.2468847435731	136.179108727081	1	0	3	4	6.29088332483732
1	374	371.487601666894	840.066917736695	1	0	4	1	2.93775959498238
2	1518	150.446773487891	225.7661644282	1	0	4	2	3.20450825873455
3	1903	69.7888918676051	114.329633689251	1	0	4	3	2.03436262845101
4	9636	13.7188151976157	30.9571539425316	1	0	4	4	2.78925735552251
5	14806	0.895405716754659	7.2170509957121	1	0	4	5	2
1	10186	38.2207212166127	95.4024205056595	1	0	5	1	4.10555035904009
2	2585	549.005551190435	1243.8434487124	1	0	5	2	13.5842163166139
3	5984	165.647540340864	535.304561432893	1	0	5	3	13.5332108154899
4	18238	5.871827102237	49.3678703103012	1	0	5	4	3.80390727635742
