STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	10274	167.912172965669	617.773892634716	1	0	1	1	3.29956785974062
2	7909	239.466256704433	1178.92631705286	1	0	1	2	4.84725860593197
3	1672	1645.6558609557	10372.5010799816	1	0	1	3	9.0158715185926
4	23122	512.413789323527	3886.44052974456	1	0	1	4	46.7159705178618
5	6468	116.258678960632	888.691648759645	1	0	1	5	2.9881958796008
1	19998	76.7029721847723	355.005170928492	1	0	2	1	23.1003913049027
2	2673	202.612165167022	1690.27692477492	1	0	2	2	14.7012720717764
3	3289	69.2999034852149	385.440150806525	1	0	2	3	4.12495219407861
4	28754	19.6999431952786	114.669126411938	1	0	2	4	10.7285953651133
1	23221	16.5130313464766	130.61843584069	1	0	3	1	10.6740656766999
2	13420	42.9789121511478	323.200477536759	1	0	3	2	15.2640219905537
3	5995	138.137151863359	1264.10591210693	1	0	3	3	26.669638153895
4	8558	35.4671489554468	301.748696199878	1	0	3	4	9.08787108634523
5	26026	12.2353879812483	72.9070944097483	1	0	3	5	6.6776198175177
1	1881	31.3526573083368	184.046961934765	1	0	4	1	8.0781550687854
2	1848	19.5189512704663	60.6724856568674	1	0	4	2	2.61630572618114
3	7139	9.89311202178436	27.4881844464847	1	0	4	3	4.57907941345861
4	17369	2.601134991631	10.1774013052604	1	0	4	4	4.12483377578696
1	2706	2.52751247809112	12.8657139081809	1	0	5	1	2.08287277634571
2	9097	12.3938003884448	52.808620432118	1	0	5	2	28.741145840508
3	16390	5.16588976373554	18.1837993704758	1	0	5	3	17.8305461614229
4	8800	1.19280659303761	5.29494871802855	1	0	5	4	2.78769651393379
