STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	1727	1542.15615201221	2024.47512264163	1	0	1	1	5.43158555628803
2	4136	657.992772391966	692.545265580904	1	0	1	2	4.44990293160792
3	36575	1711.75294342289	2179.45198436615	1	0	1	3	123.837872713651
4	4840	412.022959937053	900.779354224215	1	0	1	4	6.7730709981206
5	2167	1469.8807647029	1789.68979673297	1	0	1	5	6.02502032420653
1	7964	1821.34659874443	2091.62563038488	1	0	2	1	23.0322195343342
2	5973	1474.38081063405	1591.74928518125	1	0	2	2	13.1458224815714
3	6292	2805.019284002	3571.27120105226	1	0	2	3	31.0693473654074
4	13552	1154.15229873943	1507.40896098987	1	0	2	4	28.2458774660896
5	20933	419.177551487051	707.173403769982	1	0	2	5	20.4681210801761
1	5984	1704.9500568083	2152.06952080785	1	0	3	1	9.41723184028182
2	11935	2794.3601605979	3933.61775100169	1	0	3	2	34.3312770993664
3	8239	4789.54861158574	7196.11228931952	1	0	3	3	43.3558609859675
4	18458	1527.29429822935	2183.19657853869	1	0	3	4	29.4681494961971
5	32604	617.653841243636	1062.36469683077	1	0	3	5	25.3291079860288
1	3740	819.051189310977	1116.02149315279	1	0	4	1	13.8234838842002
2	6688	426.002704718639	514.424910273636	1	0	4	2	11.3944037612523
3	3498	820.875933023456	1495.33456844096	1	0	4	3	17.3233359656125
4	12309	390.046314839663	582.142195338164	1	0	4	4	23.7315006086834
5	2002	890.872664040626	1262.83819630419	1	0	4	5	8.37307790717449
1	4213	783.906984180604	1255.02406049229	1	0	5	1	8.51295819762475
2	3894	1876.94930015645	3757.01648172216	1	0	5	2	23.5546164732156
3	8954	924.128411043136	1342.10502641399	1	0	5	3	19.3482006558098
4	11385	383.283262170145	589.863198938436	1	0	5	4	10.8123806463744
5	8547	816.667580551007	1453.99246874977	1	0	5	5	20.0084225613862
