STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	2915	14.5173875638195	30.9413823808401	1	0	1	1	2
2	13893	26.9407051533645	59.0643254974024	1	0	1	2	18.1035157562405
3	3938	59.7320756368193	168.456920087597	1	0	1	3	14.635454296352
4	19030	48.9386363929431	107.349617669201	1	0	1	4	45.0693121756931
5	9669	25.5643548023921	56.147413992502	1	0	1	5	11.9771353835943
1	1463	30.8255914366418	62.6523597329001	1	0	2	1	8.6815857831251
2	8404	11.0497001437037	21.3602640294669	1	0	2	2	17.0023895479371
3	5786	13.7573894088889	27.721493476531	1	0	2	3	15.1919091677198
4	14663	8.8813886928972	18.1690285642579	1	0	2	4	25.2331717742628
5	24398	6.37496114226248	12.0220738469623	1	0	2	5	27.7811948308123
1	14102	15.7937471121916	38.2649114144804	1	0	3	1	16.4668234791108
2	15147	35.1297298567879	106.545405776445	1	0	3	2	49.2481318123307
3	8536	23.7199530379885	61.220424407897	1	0	3	3	15.9470057127209
4	12441	15.9930881500677	33.9148387226718	1	0	3	4	12.8757772155071
5	26994	5.37175644478215	12.2649633886464	1	0	3	5	10.1032687870387
1	4873	1.20053318460244	1.99188644547469	1	0	4	1	8.10398426322264
2	9845	1.61949555997022	2.73060422217323	1	0	4	2	22.4446108147904
3	6479	1.14102542543862	2.1150410693231	1	0	4	3	11.4410105503725
4	7040	1.63417353651089	3.17638535466115	1	0	4	4	18.6699624910389
1	13178	0.914879919392496	1.74553614494823	1	0	5	1	11.4218041798465
2	5203	1.40754854095182	2.58439945898742	1	0	5	2	6.67682245710688
3	3927	3.92407864157509	6.77867621605339	1	0	5	3	13.2178905778422
4	6457	1.76042409469255	3.11297305570678	1	0	5	4	9.98073463450504
5	8228	2.64560227145964	5.02027804317964	1	0	5	5	20.5106023381907
