STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	3762	0.553535569824078	9.20786731734585	1	0	1	1	2
2	1925	435.007516128752	1338.56643302127	1	0	1	2	2
3	18623	18.9851300764668	193.259289812154	1	0	1	3	2.55688391757342
4	1298	1742.6149068021	7906.16099208851	1	0	1	4	7.29056749634145
5	23837	77.4426625973199	618.869274504555	1	0	1	5	10.480246726041
1	9856	11.8889979954519	146.783266765699	1	0	2	1	2.67415536530476
2	23265	2.05992726254952	29.6140393645503	1	0	2	2	2
3	13497	151.833799603112	705.481393360056	1	0	2	3	17.6007917197996
4	8096	485.257605328494	1635.87556310583	1	0	2	4	24.4810565020307
1	22462	1.32827866483921	17.7390131441411	1	0	3	1	2
2	42768	26.0676289526433	280.085466969103	1	0	3	2	11.3507637731173
3	5731	434.121059483302	1590.94668772791	1	0	3	3	8.63975852537841
4	3157	1853.0108274599	4282.84808276705	1	0	3	4	12.8121737867392
5	3102	478.794980031937	1521.78026508875	1	0	3	5	4.47310724195225
1	9086	93.4270844713656	847.280247200808	1	0	4	1	4.65141453292164
2	1166	1327.07700907209	6767.64739504851	1	0	4	2	4.76783815580462
3	9834	96.1431997384203	791.639813577649	1	0	4	3	4.70373734662577
4	8151	1535.7024769199	3934.34954375122	1	0	4	4	19.3762204155543
1	12881	23.2713001836693	182.909385808656	1	0	5	1	2.3498929942011
2	7964	251.810899504264	1137.01126043425	1	0	5	2	9.0314718359875
3	5082	1347.41512503321	3208.61974646143	1	0	5	3	16.2635529303343
4	11066	121.256468485814	384.169313782134	1	0	5	4	4.24009759141063
