STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	9328	1391.76649915335	2100.58437397862	1	0	1	1	17.4256757514854
2	4906	2674.1170749035	4062.15845682863	1	0	1	2	17.7233316755345
3	17105	899.337569066936	1467.651958544	1	0	1	3	22.3258045138953
4	18106	202.157190525527	694.953188760902	1	0	1	4	11.1902304073926
1	4268	1202.10739395431	1940.79288656702	1	0	2	1	12.0026608852258
2	11374	606.794419984179	941.764330019479	1	0	2	2	15.5213465144102
3	8250	124.297125334759	479.83756974887	1	0	2	3	5.73617154655527
4	18403	9.6197540062132	169.251408889574	1	0	2	4	4.51330675567122
5	12419	497.922613819496	1771.57997567645	1	0	2	5	31.8802210023459
1	13299	711.10821772649	1637.05771815057	1	0	3	1	22.3075832377528
2	10098	1691.85155308289	3055.59943302076	1	0	3	2	31.6155929617013
3	23936	223.592481786741	974.742134550065	1	0	3	3	23.9062171502303
4	29887	38.6179684167218	149.348458161373	1	0	3	4	4.57354136553553
1	1144	327.802904996463	507.001255313918	1	0	4	1	4.43000236363064
2	3234	92.5109606430828	163.231675794225	1	0	4	2	4.03193343649063
3	7854	25.9043230782004	62.9622669201453	1	0	4	3	3.77694057581167
4	16005	2.77702557405592	15.5395634127795	1	0	4	4	2
1	10285	54.2049826574861	121.434727368689	1	0	5	1	3.38050646126257
2	3058	505.053807858403	1349.85938670839	1	0	5	2	11.1727629405856
3	7788	146.171886604377	536.791913651566	1	0	5	3	11.3153106081728
4	15862	9.94575277632983	61.5757675862195	1	0	5	4	2.64364022930208
