STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	4389	2050.4663499675	5863.31660090209	1	0	1	1	2
2	737	11447.9941518135	65179.143592867	1	0	1	2	3.20070691061365
3	11176	1824.3091241234	6559.10060110088	1	0	1	3	4.88427890060335
4	2937	5391.04711415397	28729.3670208753	1	0	1	4	5.62211563472037
5	30206	2325.61742599597	11677.4164996318	1	0	1	5	23.502267139774
1	3630	3041.49946073819	12222.5879573903	1	0	2	1	2.07288581978652
2	16577	976.795646780931	6284.65672452751	1	0	2	2	4.86735567433926
3	4268	2926.61143643886	20232.3602592002	1	0	2	3	4.03437760687812
4	4620	7594.17902393124	53384.1526756848	1	0	2	4	11.5228501417595
5	25619	1875.84009970611	10976.0634185599	1	0	2	5	13.1375495095175
1	462	7794.33043925048	109984.964900331	1	0	3	1	2.25574544847737
2	27126	3884.77314963154	28981.5782442667	1	0	3	2	34.8997714697665
3	29557	1402.27123662017	8855.36551582028	1	0	3	3	11.619344738918
4	20075	633.777913689414	3069.58301802757	1	0	3	4	2.73558196025399
1	4862	1028.19352227283	7459.51673120129	1	0	4	1	6.54697284978078
2	9075	523.905335391897	1809.58698106598	1	0	4	2	2.96442856761236
3	352	5245.03859351772	25028.3809471083	1	0	4	3	2
4	13948	559.568634882881	1954.08736732483	1	0	4	4	4.9200646432149
1	23001	1281.94813511834	6909.48346752768	1	0	5	1	4.4181314318772
2	286	23133.7731862604	204164.985775804	1	0	5	2	2
3	13706	1523.94641430089	8262.00763775499	1	0	5	3	3.14805746089143
