STRATO	N	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	COST	CENS	DOM1	X1	SOLUZ
1	3773	2294.77325950173	1700.58128916118	1812.26905099568	1998.42393077459	19.8760094384505	1919.10145854602	2053.40295841252	2.438397829039	1914.30493882909	9.34462638571326	5.61870150584874	0.232476357683141	4.91263578621008	38.1838956011317	0.866569544973138	7861.49376565029	3895.91219053979	5920.51495145667	6568.4723035767	83.6080103369261	4550.59567836293	3212.497146844	10.5307027331918	2011.49931910184	55.745639489804	107.433970325989	0.504382323427272	15.5346490495077	325.982563328111	17.7223870505348	1	0	1	1	4.05553523847498
2	34144	1840.67935342254	1602.34670589559	3523.68371862525	1368.75458431683	133.885323370743	717.604621227318	1057.0534157722	5.88035124203414	1519.53292004338	485.770923972621	10.961735042413	0.275710013171577	72.1294003116376	600.701843072762	26.8734805581628	8502.62664018125	3898.06884979805	8516.55191176757	4592.1510376364	394.619076424967	2453.20306465729	1958.10041644999	20.6250770045519	1721.51635581408	4313.67741071245	176.657474302613	0.629290593096021	467.464841835734	6033.0307985923	765.460358074828	1	0	1	2	41.2506090943334
3	7348	1415.37446158453	898.465683793357	6110.19776759673	1150.6028067355	584.099619074528	96.9180308442728	122.717705290341	29.5290849667422	795.839363499103	1839.94420798175	85.5704484754997	0.279197145756357	75.2899482801856	295.509604461655	204.762757833131	6108.53295756024	2581.56227781772	13985.7784067078	3099.05520496756	1175.950072629	493.091780337504	609.36201035332	63.9097998081551	1042.04757283356	9557.38370556736	361.315502085948	0.638189926596313	347.342056871475	1856.85690341103	1270.53339873247	1	0	1	3	8.16120325230434
4	2552	1322.40828809908	485.631293579129	1425.94667535249	29.1524797605827	483.00937405506	70.4220852133423	105.888353441593	55.0233236564656	375.054530625904	4563.6523021541	395.750382771988	0.223472827505584	105.036284638958	758.968031936672	1768.3025096047	3996.21469373091	1759.46932527997	2456.80661914467	74.6804867850891	824.499758776371	354.768740265433	472.456511461446	137.1985873089	746.264739710639	16136.9578640122	851.595487425495	0.526936818720408	509.35090314071	9723.51684870038	3251.81504321957	1	0	1	4	2.55624285530175
5	1628	824.894564725501	350.083053556247	1125.4491729535	15.4327110496828	233.023687715212	31.0667121404277	91.4559595467119	175.381062601352	349.882730729635	11553.1665198133	579.420843986759	0.332724632849531	126.253045205211	871.831642171085	3340.81999444183	2784.7727126493	1754.5831740381	2058.47613719937	45.054460816379	417.076976415474	136.594852272519	429.727882327383	295.531035116986	869.125093419833	36505.2938598876	1043.45947896428	0.826509749058517	510.986048738828	10892.1144582099	4585.98571258556	1	0	1	5	2.20356839175211
1	5104	1072.64449111757	1155.79040718366	1565.56118029993	661.127780322414	19.7851921721662	783.201148018711	1143.89726893422	13.2518943336609	2046.7559633165	93.8715901747557	5.06581202529675	1.07795969956107	9.3921180099649	27.2327250628185	0.122183672194825	4336.48934264531	3411.98229249016	7203.62962993354	3456.06080106981	86.8205810035509	1892.78347138419	2087.76940232752	109.134011239171	2099.28226769968	808.880163029145	40.6250682797251	2.28610963895111	137.938937449366	263.816978204952	1.25561238115461	1	0	2	1	5.21674520342335
2	10967	1439.79159584714	1461.17183795428	3605.5539636008	1004.45043848852	143.865681667153	244.676066247355	785.076012934677	39.8811247560415	2042.94545134289	659.321872085969	10.2555427611959	2.38775765536253	60.7932151168235	517.691074094301	0.307869567776904	11428.54974092	3819.92497065337	9782.27260431048	3634.25782506598	661.172291718412	713.004178987287	1461.72369335478	146.612258851308	2430.0957310267	4166.85299420228	63.587876711781	9.53358645909933	1013.42587621903	2445.47484746269	2.11815275154372	1	0	2	2	13.7454995614597
3	29183	958.348082079652	713.411708042031	7197.94657543135	784.778710908071	613.151722509443	21.8430490318977	119.409845807637	157.591516659473	866.658860620591	3894.95143904207	52.9955571772252	3.13493901025171	233.01392700057	636.210259058465	56.6352323107827	5423.71853605307	2038.23296049663	13076.9750378647	2015.02093087031	1418.27338217962	164.526449626824	506.438785428905	346.452365903039	1132.75323702115	42895.7882602705	162.06319096585	16.8636785738639	1878.58609158815	5501.92866215591	360.322805587844	1	0	2	3	34.3498698772449
4	4697	873.908963809288	269.556232936404	5907.45239076152	240.264781453474	251.189623837339	21.4240518897314	43.5430091648483	195.154713629346	376.468761324075	3163.01374300947	193.084479020459	1.61610363572511	25.0911031542138	18.8216491969837	383.560370766236	4670.13998888999	576.485088156851	10663.7088862909	464.715654230818	627.040767575958	245.320613361085	454.637395818471	340.179793865502	568.590831743182	36481.8930926869	414.993334418854	2.66894496329606	207.57106008314	287.280427255001	1263.77639538923	1	0	2	4	3.53933902370323
5	4763	600.537235027421	42.7643500192493	385.706115850267	1.30577587231591	99.7235270764871	0.0673334881378445	0.180601168295338	387.548245962517	56.3925979317933	24054.9177343987	333.504663046427	3.95399481889056	20.1774706306992	29.9368792073581	1823.39593521637	2997.49407405285	257.89212895878	1024.47160401562	8.2623075018664	251.35149412132	1.23503075146051	4.42985805299196	527.801979575924	143.287174329332	231921.581127479	697.248124263548	5.62199872858765	131.027100469509	594.660417222522	2475.69654922757	1	0	2	5	5.68570426043913
1	25707	1332.29933351704	1190.39952878293	3477.15478988409	988.86819752974	104.189210886001	322.712832194026	1057.58596383141	32.5032388287684	2844.95606497078	617.032379602554	26.5583776064951	2.06363930560686	27.6663234969845	81.3401402569911	5.22121679379742	6800.68035213428	3042.27346028997	8454.27979458576	5116.80810058549	483.439330272556	1101.54125764534	2234.53569194177	155.253380392476	4466.51132476276	4883.77501447359	254.822827439305	8.16093961378223	237.373137399391	597.20833786361	148.849659763175	1	0	3	1	29.6837483767654
2	36333	1021.21637310579	941.858497119177	9115.99016011549	985.641594310789	326.298605520176	25.3482732325974	144.017387667184	193.346260144041	1125.94231412134	4753.79059202135	80.6776622306446	7.53927800963365	311.492475354818	155.246238827065	37.6627003736624	5941.08415768151	3110.40110742807	17672.4189911545	4546.04084480471	661.80444222394	231.142509518065	731.481007505933	381.562262982096	1770.35405922321	25048.821127493	318.546481731665	33.1058078914149	2059.51505891144	1256.29809031317	225.673600826422	1	0	3	2	44.9117086876539
3	9053	821.459332535334	267.62135846684	5472.32195038333	539.406366606087	364.003304281499	9.067466321571	62.1270863430051	444.876179517178	426.955942115156	4317.78879471029	442.706955021663	9.61816607815485	109.498928565957	56.8713790511275	704.823771170804	2684.19151703651	665.723665583565	12914.2641940981	1878.33525697853	620.205604436643	185.514347497385	951.385855661971	859.761069552037	683.587452982588	18277.4354713366	998.63247350226	28.1920306403686	665.069935386636	528.346636570084	1257.91123587458	1	0	3	3	8.41822503806765
4	3256	621.268104211124	145.063616980248	1631.94124391235	51.3005837792076	351.057357403598	0.988066342489303	28.0321570559244	728.960981615304	296.624031521446	5902.75727260973	885.497583306688	8.76369054282101	60.7773438600449	133.406220516294	1914.65794580099	2828.42690448607	447.242755305681	3203.04945501038	275.131948703698	579.218622981123	9.36086438205738	317.035620344178	1163.71132759138	571.589288433103	20651.1379743584	2038.44625990236	19.1444115714856	324.145086675226	1661.54733066169	2397.76009562936	1	0	3	4	4.02555284035164
5	2871	527.167523878973	84.6753751815862	658.614588705557	3.78041578554971	163.702477002759	0.896535508406173	25.6671583976645	532.575674913817	193.202898663487	3828.40273524305	561.727773867048	8.04021906832494	37.0426303738654	103.269783980257	1690.4216001563	2073.55209995415	385.640671413854	1727.24811741494	13.9707207154221	595.302713546878	9.10174373181834	252.179540645271	675.902939359332	574.580995395472	16050.718557529	1185.86124374311	14.5890456867401	219.174132275409	949.74267274191	2148.13805309005	1	0	3	5	2.39071615292886
1	4752	331.859530630623	183.949932936918	1817.28484055778	398.531551993949	175.644738254044	1.4816501276447	77.4861809292178	193.404280245404	587.200574600833	46.1261510429508	18.6491161279325	4.46526591675474	7.61636783825252	6.26478695569161	70.5129929966563	779.001746342779	300.725943484956	3629.74838676898	1144.02393466907	1053.67026484818	2.65115564307844	278.617472126832	1143.47723308706	722.591664619931	288.502987126924	144.761790263431	7.15996865648505	18.7651227363087	14.7263821514588	908.541625212282	1	0	4	1	5.31266369573082
2	2882	249.503493850354	118.698729583196	2720.14115573872	579.980087665828	203.265058124419	0.517827056929801	60.6665036475514	271.444015402475	448.263806266553	34.7301513620996	26.3572482112246	3.96901037002342	10.5499299114405	6.32486968680534	68.5029029034352	1093.69185298797	205.532818571936	4365.00338311167	1051.12699261281	916.43231465858	1.13600543877765	131.528507032154	1316.35017616006	772.929684905469	223.460466924676	135.870726910042	6.1589750075628	20.7881567211654	12.3848991269466	370.61672292536	1	0	4	2	3.71196914508729
3	2486	278.446504916982	136.545541623791	3347.66379322795	657.964202246072	253.193396838173	0.337379820918651	23.1322721754942	385.932041439806	398.001552587655	44.7033496091672	35.9304632429647	4.16983624637714	19.6248015042746	7.33469153454938	62.7757947417072	632.544834350913	246.000595126813	4309.24386302001	1110.71189371105	673.620838064161	0.891030339823107	54.2239715950448	1136.4327793337	543.094447253913	241.511418224494	139.488249583626	7.25266428340405	34.4694299176726	14.0539026578268	536.681203893472	1	0	4	3	2.25330770967642
4	12683	306.514668109211	89.0217901504945	3211.27456959716	265.913464492842	371.366904588545	0.0992350466408832	3.49088566578125	715.451721165742	517.18451817019	999.943716334106	186.671636793185	58.8084079626524	150.315491827948	10.7950194692641	359.830695556844	930.887546889208	182.824946831107	5031.34642995398	740.009240846077	1275.01214013977	0.56392869426677	22.736396339523	2287.93613009694	726.458018965253	5038.68475079795	1284.57314031566	226.793623683336	515.719002016624	31.0699466890282	1193.84996457234	1	0	4	4	15.2383657364279
5	5434	367.211021718574	44.7578800680011	1970.33963930454	42.0708668266652	315.766642292782	0.0053448094483566	0.13577104772093	992.034233567999	380.915579225336	4725.73012865531	311.870437043191	106.391040199848	76.7319469788904	7.84828235829615	1475.3165346455	1036.2220485765	113.349440153167	3583.52888397554	152.233478227561	817.659550668676	0.0753784709017669	2.00253265771982	1837.52906206668	690.993871074774	17514.3543461573	668.120815610478	407.047280964961	775.105183032686	75.1536407580978	2118.61432774669	1	0	4	5	6.4350214647041
1	2552	1153.67693492765	350.328179604834	2502.11232734977	524.501528707086	409.81952009065	2.39327149949495	425.835213617158	150.653601426941	987.063437217722	96.9161753796145	51.8002760725734	56.6184631791564	9.3090534875825	1.73879108275569	27.252711459848	3373.83102257728	790.556902123705	6294.69541483046	1463.83834872672	1088.31114858111	5.74721611869218	1164.73177415768	470.899197759737	1257.65632040543	669.040697024953	256.780220419597	376.128080111196	22.1776509168913	4.48728254885795	187.245498046661	1	0	5	1	3.30029756990461
2	6930	754.453542072705	287.391099259804	2730.81848999932	193.285739388471	263.778153012974	1.00648640321321	177.297129377054	129.499061731612	1201.15108912348	204.860076297421	44.656519736679	123.306731760328	15.2185236328973	3.13854400911594	45.2858498755511	2846.83660719857	617.643904674544	5993.87190579507	702.541603713358	689.782083591605	2.62606239155575	548.997261489874	531.828471462048	1732.72132406497	1041.20886707077	418.998415945044	427.90727715302	28.7284951291557	6.43604083115681	367.061156416973	1	0	5	2	7.81679467433016
3	15004	558.277700956274	216.070984789125	3872.1628328932	70.6199956232885	251.383566187279	0.242183261053067	35.7426868719934	187.116805046736	831.481372779704	1236.88227881116	51.1773000596485	289.09056250858	68.489709084004	1.72445049393681	83.5928448694032	1882.69250591529	429.844403441662	6563.51836254677	334.628673057038	547.820353284465	1.00432138833201	186.696972351924	631.167758852025	1212.4653297356	8084.37605061357	225.091478021754	1165.42147799205	271.277976781276	3.92391534382295	326.463639633412	1	0	5	3	17.6508232623359
