STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	28083	3.7922822048884	14.0116436281349	1	0	1	1	8.96085321690376
2	7117	7.48058704231945	23.5712253410705	1	0	1	2	3.82028625643539
3	9064	24.9238595641926	50.3816858704483	1	0	1	3	10.399426100676
4	4081	54.3946085036375	136.621180582324	1	0	1	4	12.6970084660804
5	1100	222.969215005133	328.563581182439	1	0	1	5	8.23055059843924
1	10648	24.2532678375238	107.037768353835	1	0	2	1	9.29073965982245
2	18359	54.6025607255854	159.463273547362	1	0	2	2	23.8646406645044
3	7029	159.979449871132	294.667917277699	1	0	2	3	16.8838544340038
4	14113	261.407420608024	452.865099712983	1	0	2	4	52.0994809676243
5	4565	392.575135051089	534.61235895513	1	0	2	5	19.8941312397238
1	23804	29.0373215179251	121.931165776172	1	0	3	1	13.9257756086601
2	17556	120.735061980428	299.351042327054	1	0	3	2	25.2151219037523
3	27533	268.728304322604	467.912537761051	1	0	3	3	61.8120208389004
4	3817	826.302195876992	1426.94863823014	1	0	3	4	26.1327567861872
5	4510	538.065447506162	688.889151895642	1	0	3	5	14.9066691672262
1	3619	168.936282916856	707.775397439052	1	0	4	1	4.03260211909697
2	9251	369.1624721782	1340.05586741032	1	0	4	2	19.5169933512317
3	7337	596.119424379248	1931.85191048888	1	0	4	3	22.314834972722
4	4026	1329.44037104604	3379.14978833136	1	0	4	4	21.4181789306042
5	4004	842.411704143493	1229.20924795784	1	0	4	5	7.74856385577581
1	12067	138.901032642353	540.895214997092	1	0	5	1	20.0811830484654
2	5115	111.805936443764	322.499631323428	1	0	5	2	5.0751829611906
3	14476	329.313675902427	839.523686143473	1	0	5	3	37.390250166227
4	2893	1262.06190777497	1908.8610871054	1	0	5	4	16.9902434227936
5	2442	595.762056892489	1092.07857634025	1	0	5	5	8.20495851977584
