STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	16896	1.43702953060527	9.74428285925693	1	0	1	1	2.09933861492647
2	9867	8.49381154202089	48.3911146447364	1	0	1	2	6.08834795845604
3	3245	19.2650254861666	337.160580526655	1	0	1	3	13.9508350934307
4	14080	12.0571173574997	111.395053823445	1	0	1	4	19.9994141334042
5	5357	20.7930815563193	184.551415733407	1	0	1	5	12.6063029161636
1	17314	1.26971479672544	5.61583831836286	1	0	2	1	3.1676607074574
2	9284	5.36445936937674	28.8595495774984	1	0	2	2	8.7287354052033
3	23309	6.23286911185624	56.6089741580509	1	0	2	3	42.9868453764447
4	319	51.872445592696	322.497987496525	1	0	2	4	3.3515394860727
5	4488	7.99254167879614	83.6019373384362	1	0	2	5	12.2235073604946
1	27269	1.30769184621324	6.19457994133435	1	0	3	1	4.7897468751309
2	6655	6.74054440893046	29.2865868597877	1	0	3	2	5.52647626905006
3	19811	17.4040608489775	95.8405680845007	1	0	3	3	53.8377952143348
4	9163	7.46037965169035	44.2257490876724	1	0	3	4	11.4906440918489
5	14322	7.48071703559687	80.2617496478413	1	0	3	5	32.5944593052302
1	5214	1.24459289336804	4.04553381295994	1	0	4	1	2.01453201132692
2	12925	4.16627205795304	11.5028041735251	1	0	4	2	14.1991252029544
3	4752	10.810897085138	29.2197275693695	1	0	4	3	13.2611108396438
4	3014	4.88104089164371	20.3389987796711	1	0	4	4	5.85463909971892
5	2332	9.39203565124974	37.6845516405073	1	0	4	5	8.39303838230568
1	26675	10.4365345719926	58.7280292739711	1	0	5	1	2
2	1254	182.893640942862	2998.5389829451	1	0	5	2	4.31610872185914
3	5885	19.0889077630176	155.506621817834	1	0	5	3	2
4	440	202.661810164253	3801.45485633048	1	0	5	4	2
5	2739	39.4794715111535	808.829421506524	1	0	5	5	2.54292828733325
