STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	10439	55.3509623826416	415.864818961064	1	0	1	1	2
2	14872	914.536465541468	8778.36136558599	1	0	1	2	56.8603356646983
3	20009	432.806419786258	2422.59610996453	1	0	1	3	21.1121754950253
4	2871	968.234037639963	12221.3300289807	1	0	1	4	15.2819316225131
5	1254	449.318887645898	2064.69290752309	1	0	1	5	2
1	9944	64.397428922952	782.395093480621	1	0	2	1	4.30772253275992
2	4532	779.052608493207	2866.84834592125	1	0	2	2	7.19374615647489
3	7513	1494.62587046363	9371.0392479086	1	0	2	3	38.9817770856195
4	14234	599.003047511318	4059.83974263346	1	0	2	4	31.9960480399303
5	18491	37.1891445778188	451.144586458161	1	0	2	5	4.61887955053977
1	7238	14.6239535883119	105.759464946166	1	0	3	1	2.17470412539484
2	21010	118.519012404065	761.106420158144	1	0	3	2	45.4290643593643
3	451	514.448133560949	6436.07749431899	1	0	3	3	8.24631957098705
4	43769	126.27591554278	938.697745615219	1	0	3	4	116.722546466844
5	4752	130.969717369298	1527.36280356108	1	0	3	5	20.6196360958729
1	12177	7.10854910448347	16.1293417460382	1	0	4	1	10.7971048975336
2	11748	10.5501696434106	31.9960528021815	1	0	4	2	20.6638249233693
3	2167	3.99518134802769	19.3323455279564	1	0	4	3	2.30299943237843
4	2101	9.68538981264234	43.8726609150615	1	0	4	4	5.06722745197622
5	44	142.786956266968	739.262050331206	1	0	4	5	2
1	1584	1.49621896965488	3.64456663607094	1	0	5	1	3.98205078946963
2	12485	2.80760346084112	5.87162524141007	1	0	5	2	50.5653011465865
3	5247	1.65530278850152	3.8468566222313	1	0	5	3	13.9226782443163
4	11693	0.797064255023133	2.44116356080019	1	0	5	4	19.6892217794501
5	5984	0.142804084146539	0.61884273840459	1	0	5	5	2.55433354412551
