STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	16896	39.3711460571702	134.904758531584	1	0	1	1	3.19368799421808
2	9867	115.044580925896	260.467891264993	1	0	1	2	3.60097941001976
3	9174	214.739000198749	452.953216214135	1	0	1	3	5.82228418436088
4	5225	572.027108608466	1323.98846270244	1	0	1	4	9.6928571287017
5	8283	457.699161879767	798.706803667403	1	0	1	5	9.26950111851072
1	13420	81.4698112061852	285.581143406748	1	0	2	1	3.30757469404539
2	15587	352.855428572224	952.643762147394	1	0	2	2	12.8150610678676
3	11418	848.483411804699	1812.45084240439	1	0	2	3	17.8601002245789
4	5588	662.382828175234	1366.39187820698	1	0	2	4	6.58960353513917
5	8701	143.032389488707	366.003395013094	1	0	2	5	2.74841239916716
1	5159	51.062828789516	292.00373160893	1	0	3	1	2.7986118236686
2	4609	121.919209826039	785.69443044912	1	0	3	2	6.72742892215701
3	8712	86.6809726303031	281.149256138087	1	0	3	3	4.55033677920274
4	18931	203.732749838517	524.78693772856	1	0	3	4	18.4563283263838
5	39809	351.798981810418	677.846076127765	1	0	3	5	50.1303907627154
1	3135	174.912036595123	563.198483757553	1	0	4	1	2
2	858	244.141790668057	2224.48592036977	1	0	4	2	2
3	16434	258.969099761553	925.319457888641	1	0	4	3	15.1330904732276
4	3993	626.656909897874	1757.78040967196	1	0	4	4	6.98484191440468
5	3817	251.473079782686	532.955209906973	1	0	4	5	2.02444285912025
1	4378	376.915545071017	997.88317405128	1	0	5	1	7.48193509879552
2	22451	253.712009668077	564.407163373174	1	0	5	2	21.7013467671523
3	3729	353.984514311517	654.752898330617	1	0	5	3	4.18146333025798
4	2959	525.491434248104	878.249065096607	1	0	5	4	4.45062641257432
5	3476	266.903906098398	480.226711986635	1	0	5	5	2.85880518346887
