STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	16423	10.1771409694752	333.638046241218	1	0	1	1	3.33041799715135
2	6534	44.9927193191833	628.981034604238	1	0	1	2	2.49797083357695
3	21571	10.8506659404055	139.583174810526	1	0	1	3	2
4	2222	311.061322504225	1478.16339771362	1	0	1	4	2
5	2695	910.44884282589	3812.92309887859	1	0	1	5	6.24579173044013
1	34034	3.76411012121949	76.1931880134688	1	0	2	1	2.88601385818162
2	13816	62.5037710949354	345.887994437932	1	0	2	2	5.31847454568944
3	2035	261.584728833513	1766.76760943939	1	0	2	3	4.00141056521277
4	1903	693.814265603493	1811.44027904365	1	0	2	4	3.83647242523557
5	2926	283.032989688814	1003.94628251076	1	0	2	5	3.26929469698756
1	24574	2.05156600264055	27.3232251589442	1	0	3	1	2
2	42625	20.3185425252952	223.909550546857	1	0	3	2	6.28498729167387
3	4422	388.094934671189	1224.64298774441	1	0	3	3	3.56611736342007
4	3190	1398.7334211522	3194.15810785001	1	0	3	4	6.70987587420952
5	2409	454.865369508455	1416.86304802884	1	0	3	5	2.24766750876081
1	12375	34.6661005792801	407.525998468781	1	0	4	1	2.60715273989783
2	4334	192.146681950766	1227.88673396121	1	0	4	2	2.75114297875474
3	2079	307.006578525789	2684.5314470422	1	0	4	3	2.8852864243195
4	2728	254.487162298344	793.920125801355	1	0	4	4	2
5	6721	1345.62069460637	2741.20084013544	1	0	4	5	9.52446738409526
1	17864	15.3884442546966	139.980534197492	1	0	5	1	2.39310680624921
2	10802	68.0610073282366	333.132979296951	1	0	5	2	3.44379687121822
3	2816	246.249102398521	757.267566433551	1	0	5	3	2.04078725001145
4	1958	794.164953770667	2297.16857986645	1	0	5	4	4.30448580803564
5	3553	569.544769462963	1325.20027201421	1	0	5	5	4.50601309172822
