STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	9988	0.253937484598358	0.530505861549056	1	0	1	1	18.8285987123631
2	16775	0.28857484185171	0.681346016102292	1	0	1	2	40.6143520346893
3	18612	0.26855552769148	0.609708702805732	1	0	1	3	40.3241031521053
4	3113	0.236602931475502	0.555242810954802	1	0	1	4	6.14202166466691
5	957	0.357809819281022	0.924055904885921	1	0	1	5	3.14238550977391
1	10120	1.30872910549225	2.6385892163115	1	0	2	1	3.27931574646601
2	9196	3.12407245273914	15.6171641358241	1	0	2	2	17.6372989437702
3	5104	4.02364992885023	31.5391905942589	1	0	2	3	19.7693389726424
4	5588	5.52078501516379	17.4821304922594	1	0	2	4	11.9972495845664
5	24706	2.27632643988971	3.82975328270032	1	0	2	5	11.6199476878881
1	19492	1.82318453394601	6.96229139675641	1	0	3	1	10.2256713602304
2	11627	3.82406273526345	12.7248183596864	1	0	3	2	11.1481421130669
3	5423	7.23384383688791	20.1599913985023	1	0	3	3	8.23783670835437
4	28226	8.22404126118501	37.5151808443035	1	0	3	4	79.7883738087442
5	12452	9.1796540545408	21.4831417310265	1	0	3	5	20.156732753404
1	14817	6.53210228432152	16.0945531273956	1	0	4	1	2
2	3410	43.1712982080306	132.638530734417	1	0	4	2	2.76460445212178
3	7744	114.703189510112	361.818069684186	1	0	4	3	17.1263382906732
4	1969	99.1801683741889	296.262675070092	1	0	4	4	3.565591433688
5	297	132.903224028129	961.922328448266	1	0	4	5	2
1	19635	154.502411170849	654.963207717037	1	0	5	1	5.00080730712217
2	5588	554.214009807739	1797.81789084241	1	0	5	2	3.9065591632659
3	2970	1453.69543583739	4206.89280537584	1	0	5	3	4.85858948410511
4	2662	2142.28760725711	10153.9556387603	1	0	5	4	10.5107963928291
5	6138	1062.73931176321	5488.21611787425	1	0	5	5	13.0993697068365
