STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	3773	2294.77325950173	7861.49376565029	1	0	1	1	8.00334841195779
2	880	2665.49292549852	22632.9294732072	1	0	1	2	5.37406959458286
3	32736	1807.15085012457	7187.08221649939	1	0	1	3	63.4830916695529
4	1793	1513.36398080041	13909.1573654573	1	0	1	4	6.72916154253605
5	10263	1339.57478981704	5475.27750109921	1	0	1	5	15.1621332184424
1	12331	1403.30169760269	6258.96084187346	1	0	2	1	21.2470142971908
2	1738	1801.31689439765	24359.9338071839	1	0	2	2	11.6552945632884
3	6578	427.851366888784	2088.56907442461	1	0	2	3	3.78216168001885
4	25597	1064.99341134659	5932.69919375639	1	0	2	4	41.8060153008774
5	8470	671.512232569424	3164.35542616547	1	0	2	5	7.37846542513871
1	33132	1293.1335086583	6825.12016038839	1	0	3	1	81.5614859080099
2	4785	1081.54829791729	9115.83898360394	1	0	3	2	15.7327906011301
3	11264	1204.88041846135	6137.46046103345	1	0	3	3	24.9349512741107
4	23705	782.130161102231	2844.70306588853	1	0	3	4	24.3222683210877
5	4334	506.41790025558	1955.81673056905	1	0	3	5	3.05734352204432
1	7425	302.562429436346	919.747785718159	1	0	4	1	16.1297854972345
2	2695	275.234705562963	626.05500978811	1	0	4	2	3.98505800969876
3	14245	313.644913465425	916.494930626199	1	0	4	3	30.8358485299948
4	737	545.526964134875	1886.40669700144	1	0	4	4	3.28372062240581
5	3135	323.133991312753	840.308758756749	1	0	4	5	6.22214057116279
1	4224	1060.33074935321	3126.99348883566	1	0	5	1	12.1187217030297
2	1067	874.345775883864	4848.24329963556	1	0	5	2	4.74629525678875
3	22242	608.806247385757	1961.24263281973	1	0	5	3	40.0231335014922
4	4092	870.641889750647	2877.25698543561	1	0	5	4	10.802398741512
5	5368	394.246895084625	945.200078265964	1	0	5	5	4.65524113743378
