STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	16423	38.9075389679396	90.2293543513224	1	0	1	1	53.2131390203172
2	473	52.5854431678064	187.921604162676	1	0	1	2	3.19195226343583
3	1947	44.4407416578934	125.470980840066	1	0	1	3	8.7725889497087
4	20790	38.3749325409181	94.3610553392169	1	0	1	4	70.4475371359994
5	9812	28.7527429496135	74.5408347312005	1	0	1	5	26.264571951859
1	9251	6.62653244159797	12.8346608630765	1	0	2	1	17.8835252191069
2	1397	7.94693130244307	19.9534500041809	1	0	2	2	4.19850288788291
3	11154	13.2329015720709	30.5314824512551	1	0	2	3	51.2930572114559
4	15323	11.6503587232913	22.4272790700634	1	0	2	4	51.7607358374065
5	17589	5.9583679716634	12.41988781549	1	0	2	5	32.9032558809455
1	6127	19.6311887015275	68.1205007820242	1	0	3	1	22.7997531514352
2	3344	27.374173801286	112.622688434333	1	0	3	2	20.5729509999836
3	41624	19.9103004405786	60.9313682885815	1	0	3	3	138.544463880978
4	13904	12.9242117745835	38.3402423685826	1	0	3	4	29.1205146301429
5	12221	6.62941214110079	17.8320912212566	1	0	3	5	11.9045628970451
1	9306	1.37065294886787	2.51296604649376	1	0	4	1	29.6310701035901
2	6699	1.65762323748001	3.01091424194403	1	0	4	2	25.5567738991192
3	7931	1.48670820168653	2.60933676193234	1	0	4	3	26.2213924064292
4	1606	1.29105516973857	2.38067753798598	1	0	4	4	4.8444422413529
5	2695	1.10099653607012	2.00835919034452	1	0	4	5	6.85800542836548
1	10417	2.05960172780764	4.46193102524146	1	0	5	1	39.3519859306411
2	17512	1.75357129164509	3.48726441633245	1	0	5	2	51.7037168483571
3	1562	2.21975322745398	5.87748175329273	1	0	5	3	7.77272775879055
4	2673	2.02303770856011	4.09602530204853	1	0	5	4	9.26963699289143
5	4829	1.42606074480561	2.84366152438991	1	0	5	5	11.6261586480599
