STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	6281	1891.0413590943	4384.151436209	1	0	1	1	21.8647026015166
2	4598	1259.04146161882	2939.02647491036	1	0	1	2	10.7300488535183
3	12870	787.263966288327	2038.94249500942	1	0	1	3	20.8359237011477
4	10945	397.495360751259	1225.18238076859	1	0	1	4	10.6474532690556
5	14751	116.082060891337	595.854539284561	1	0	1	5	6.97896385933611
1	8305	762.31420261512	1531.00667614583	1	0	2	1	24.7243351420863
2	4026	241.217963196777	595.870974368601	1	0	2	2	4.66480938393495
3	14685	61.842705366328	243.286835680926	1	0	2	3	6.94705058542659
4	19536	7.45947423582136	105.887064398482	1	0	2	4	4.02241110816914
5	8162	14.6461527927304	262.024266210042	1	0	2	5	4.15858903832917
1	7909	548.943784132868	2239.27958608093	1	0	3	1	28.2042815243616
2	6127	490.148784674255	1396.9773253861	1	0	3	2	13.63083252471
3	17083	174.271705157786	718.911530422255	1	0	3	3	19.5580131848169
4	15246	34.5666124296882	302.315386440088	1	0	3	4	7.3400887526651
5	30855	5.84517444801151	95.6940291071835	1	0	3	5	4.70213978604186
1	1661	5.0567258925497	10.3844338588852	1	0	4	1	5.16924483989873
2	1958	3.47980344172189	12.7556357287663	1	0	4	2	7.48495927415227
3	6699	0.660875525300281	3.41093133727138	1	0	4	3	6.84790301242208
4	8173	0.215118834664272	2.1301559311586	1	0	4	4	5.21756106384653
5	9746	0.030779931628042	0.789863102060077	1	0	4	5	2.30702807412671
1	561	8.42021399663657	24.6994446141361	1	0	5	1	3.33020775411931
2	5819	3.35340406214176	11.3614744307881	1	0	5	2	15.8892841310049
3	13101	0.568504380389203	3.24887034046155	1	0	5	3	10.2295871007906
4	1133	0.569252305578253	8.11388624885378	1	0	5	4	2.2094292706856
5	16379	0.0938177534159752	1.21614777018955	1	0	5	5	4.78734812231084
