STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	12969	42.051091052642	220.40255160877	1	0	1	1	6.67645395129819
2	17039	126.256392904701	401.800228285847	1	0	1	2	15.9910518595683
3	6996	294.329700890408	763.836300726556	1	0	1	3	12.4816742619436
4	4290	643.439826143343	1678.21682581858	1	0	1	4	16.8162096387958
5	8151	501.135378711802	925.345441197762	1	0	1	5	17.6172262769447
1	7689	54.2273758693142	251.770059161961	1	0	2	1	2.48337727179089
2	12958	230.014768244619	791.55379193871	1	0	2	2	13.1579177881208
3	9361	484.951294086585	1337.18551735344	1	0	2	3	16.0576751831869
4	14839	1019.80648792407	2256.35550255191	1	0	2	4	42.9517556706936
5	9867	222.486524248464	560.165390218086	1	0	2	5	7.09039058938546
1	19492	90.5221613840717	369.526822016965	1	0	3	1	19.7840483892683
2	14432	220.871848831631	583.564079019333	1	0	3	2	23.1327821158491
3	17776	430.267379601975	1047.60161142597	1	0	3	3	51.1496887361471
4	23584	378.30757725832	801.321847259737	1	0	3	4	51.9083525417013
5	1936	101.180272866216	255.98907810492	1	0	3	5	2
1	13563	242.10145768972	963.13789845526	1	0	4	1	21.168362404543
2	341	713.598446285727	5544.51433621278	1	0	4	2	3.06380356970292
3	4114	298.299630780272	1030.68597426265	1	0	4	3	6.87121727490594
4	5885	520.849051702154	1452.91479362923	1	0	4	4	13.8557373123656
5	4334	327.38690280606	773.11853292001	1	0	4	5	5.42972731108076
1	1045	823.613179155507	4121.89259515658	1	0	5	1	5.81720853376114
2	2893	568.729956832446	1971.81883877554	1	0	5	2	7.70401493777775
3	143	2148.96430419869	7982.62917920921	1	0	5	3	2
4	8173	334.431957702344	1305.29869840616	1	0	5	4	14.4076475149149
5	24739	364.638714968427	738.443771915067	1	0	5	5	24.6718231641141
