STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	7799	578.370466852271	1465.61918569143	1	0	1	1	25.7544792383523
2	5170	469.855559067393	1141.86978901756	1	0	1	2	13.3014760495756
3	26785	196.334374248272	647.133661689992	1	0	1	3	39.0551538149834
4	4686	113.890141032239	382.110384373787	1	0	1	4	4.0344453373522
5	5005	32.0839613369722	168.170128580014	1	0	1	5	2
1	7689	186.1719747048	535.448901077308	1	0	2	1	26.2540998678708
2	9988	90.2939288805422	295.277352656606	1	0	2	2	18.8069301947184
3	9339	33.8607536735709	161.943017398668	1	0	2	3	9.64432512822395
4	21516	10.7923779641756	53.984261393638	1	0	2	4	7.4069248749941
5	6182	6.81733714946778	118.397101660528	1	0	2	5	4.66744610904989
1	2970	285.488128595339	852.169480531664	1	0	3	1	11.9874759460728
2	6501	197.667437298874	559.671393495069	1	0	3	2	17.2329091485265
3	18777	138.090249918264	469.788308795499	1	0	3	3	41.7805097130037
4	13992	43.0765281481983	217.983706936784	1	0	3	4	14.4460513153345
5	34980	9.20167985539562	65.0340469140292	1	0	3	5	10.7747178925236
1	1298	1.41778870342656	6.00003807343732	1	0	4	1	6.04448400398053
2	4059	0.619692297970447	3.20679778015672	1	0	4	2	10.1023208949686
3	4664	0.203929101345203	1.54541728386187	1	0	4	3	5.59415944811683
4	8470	0.462948836357817	2.20651758149089	1	0	4	4	14.5051203491793
5	9746	0.0809353704905906	0.380444743353815	1	0	4	5	2.8777199577576
1	5995	2.53571798225466	8.50853782069195	1	0	5	1	21.049996080871
2	12452	0.965858742825705	3.91335634970422	1	0	5	2	20.1092746983607
3	9086	0.484028598686443	1.54732637584305	1	0	5	3	5.80179740334525
4	2849	0.518394111657534	4.26775072995954	1	0	5	4	5.01763877466909
5	6611	0.235685553556933	1.42422798238842	1	0	5	5	3.88556849984264
