STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	902	2741.50558140018	1636.01544061818	1	0	1	1	2
2	15598	1273.77688433997	1101.38323813297	1	0	1	2	23.1148236872844
3	17963	1308.70170975948	1792.03587701476	1	0	1	3	43.3120536529638
4	9889	2083.67910138165	3717.03679663284	1	0	1	4	49.4575323460597
5	4356	567.947780227513	1040.60303131284	1	0	1	5	6.09896532425036
1	5929	960.55798271243	1124.2916967236	1	0	2	1	10.6432122537713
2	18601	1437.41979617528	2502.0866284672	1	0	2	2	74.3106233439871
3	12925	578.113814542335	775.639192421544	1	0	2	3	16.0067280657586
4	14476	307.100147431222	424.344261074652	1	0	2	4	9.80797109121611
1	24563	1059.06772369659	1191.3011730743	1	0	3	1	42.452491245971
2	10505	1768.02415803159	3758.50954834059	1	0	3	2	57.2811750077485
3	6116	1077.6146431772	2064.89117607502	1	0	3	3	18.321661224071
4	20097	657.893256501521	1050.3176455718	1	0	3	4	30.6233076722603
5	14179	198.734708699755	364.150187599036	1	0	3	5	7.49076795558139
1	1056	167.009934008009	122.846419410151	1	0	4	1	3.20803007705829
2	4400	109.097096289956	85.3031041887645	1	0	4	2	9.2817426431513
3	5049	159.512081631202	116.966385433891	1	0	4	3	14.6042228210779
4	924	274.632708527819	281.435828402792	1	0	4	4	6.4307757668899
5	15972	71.0679139717682	80.5037119390762	1	0	4	5	31.7970784018561
1	1221	315.815016364362	220.329841755385	1	0	5	1	2.45232050680137
2	13651	110.04540742034	104.41864946091	1	0	5	2	12.9936385545664
3	5896	310.787732169178	196.506660916242	1	0	5	3	10.5614365499572
4	7557	457.213647329861	433.343691265851	1	0	5	4	29.8517739234555
5	7590	172.940786781016	183.507485594443	1	0	5	5	12.6964937673932
